iso3,decile,cost,income,region
BLR,90,12422432.222232416,Emerging Market Economies,Emerging and Developing Europe
BLR,100,14948134.596635157,Emerging Market Economies,Emerging and Developing Europe
BEL,10,0.0,Advanced Economies,Advanced Economies
BEL,20,0.0,Advanced Economies,Advanced Economies
BEL,30,0.0,Advanced Economies,Advanced Economies
BEL,40,0.0,Advanced Economies,Advanced Economies
BEL,50,0.0,Advanced Economies,Advanced Economies
BEL,60,0.0,Advanced Economies,Advanced Economies
BEL,70,0.0,Advanced Economies,Advanced Economies
BEL,80,0.0,Advanced Economies,Advanced Economies
BEL,90,0.0,Advanced Economies,Advanced Economies
BEL,100,0.0,Advanced Economies,Advanced Economies
BLZ,10,2548660.8468674384,Emerging Market Economies,Latin America and the Caribbean
BLZ,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,30,1221757.923703317,Emerging Market Economies,Latin America and the Caribbean
BLZ,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,50,1414344.2630822537,Emerging Market Economies,Latin America and the Caribbean
BLZ,60,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,70,3246367.8163462128,Emerging Market Economies,Latin America and the Caribbean
BLZ,80,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,90,2824395.200127397,Emerging Market Economies,Latin America and the Caribbean
BLZ,100,2698048.7481781584,Emerging Market Economies,Latin America and the Caribbean
BEN,10,20579913.802619316,Low Income Developing Countries,Sub-Sahara Africa
BEN,20,10383604.075095845,Low Income Developing Countries,Sub-Sahara Africa
BEN,30,8371280.542566694,Low Income Developing Countries,Sub-Sahara Africa
BEN,40,10134447.977208262,Low Income Developing Countries,Sub-Sahara Africa
BEN,50,9182819.515128708,Low Income Developing Countries,Sub-Sahara Africa
BEN,60,9049146.702187767,Low Income Developing Countries,Sub-Sahara Africa
BEN,70,20466130.06539769,Low Income Developing Countries,Sub-Sahara Africa
BEN,80,22266476.966971137,Low Income Developing Countries,Sub-Sahara Africa
BEN,90,22603725.312694144,Low Income Developing Countries,Sub-Sahara Africa
BEN,100,23886099.717089873,Low Income Developing Countries,Sub-Sahara Africa
BTN,10,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,20,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,30,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,40,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,50,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,60,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,70,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,80,0.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,90,4744738.603297619,Low Income Developing Countries,Emerging and Developing Asia
BTN,100,7623107.045034402,Low Income Developing Countries,Emerging and Developing Asia
BOL,10,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,30,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,50,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,60,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,70,0.0,Emerging Market Economies,Latin America and the Caribbean
BOL,80,66369913.87539323,Emerging Market Economies,Latin America and the Caribbean
BOL,90,129251193.67948905,Emerging Market Economies,Latin America and the Caribbean
BOL,100,273078229.2549667,Emerging Market Economies,Latin America and the Caribbean
BIH,10,5191617.69783583,Emerging Market Economies,Emerging and Developing Europe
BIH,20,5695219.32865925,Emerging Market Economies,Emerging and Developing Europe
BIH,30,6636863.2419504775,Emerging Market Economies,Emerging and Developing Europe
BIH,40,3776401.946423335,Emerging Market Economies,Emerging and Developing Europe
BIH,50,4002306.471588789,Emerging Market Economies,Emerging and Developing Europe
BIH,60,6265553.392773846,Emerging Market Economies,Emerging and Developing Europe
BIH,70,9161090.07508608,Emerging Market Economies,Emerging and Developing Europe
BIH,80,4269933.880717583,Emerging Market Economies,Emerging and Developing Europe
BIH,90,4495725.693145237,Emerging Market Economies,Emerging and Developing Europe
BIH,100,4285352.717326845,Emerging Market Economies,Emerging and Developing Europe
BWA,10,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,20,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,30,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,40,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,50,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,60,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,70,0.0,Emerging Market Economies,Sub-Sahara Africa
BWA,80,19411215.042911157,Emerging Market Economies,Sub-Sahara Africa
BWA,90,84558896.29775546,Emerging Market Economies,Sub-Sahara Africa
BWA,100,88936248.85873465,Emerging Market Economies,Sub-Sahara Africa
BRA,10,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,30,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,50,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,60,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,70,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,80,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,90,0.0,Emerging Market Economies,Latin America and the Caribbean
BRA,100,2805499045.573494,Emerging Market Economies,Latin America and the Caribbean
BRN,10,0.0,Emerging Market Economies,Emerging and Developing Asia
BRN,20,0.0,Emerging Market Economies,Emerging and Developing Asia
BRN,30,0.0,Emerging Market Economies,Emerging and Developing Asia
BRN,40,0.0,Emerging Market Economies,Emerging and Developing Asia
BRN,50,0.0,Emerging Market Economies,Emerging and Developing Asia
BRN,60,304100.7436680155,Emerging Market Economies,Emerging and Developing Asia
BRN,70,226676.96943407063,Emerging Market Economies,Emerging and Developing Asia
BRN,80,528692.4348555519,Emerging Market Economies,Emerging and Developing Asia
BRN,90,747652.0627481644,Emerging Market Economies,Emerging and Developing Asia
BRN,100,1292291.137170125,Emerging Market Economies,Emerging and Developing Asia
BGR,10,36635084.62023191,Emerging Market Economies,Emerging and Developing Europe
BGR,20,13328269.330584045,Emerging Market Economies,Emerging and Developing Europe
BGR,30,12248408.773802102,Emerging Market Economies,Emerging and Developing Europe
BGR,40,8104745.36017622,Emerging Market Economies,Emerging and Developing Europe
BGR,50,7679061.673013865,Emerging Market Economies,Emerging and Developing Europe
BGR,60,7150534.034871399,Emerging Market Economies,Emerging and Developing Europe
BGR,70,5964656.5301278895,Emerging Market Economies,Emerging and Developing Europe
BGR,80,6196496.136131833,Emerging Market Economies,Emerging and Developing Europe
BGR,90,6476175.660835003,Emerging Market Economies,Emerging and Developing Europe
BGR,100,6981561.468631956,Emerging Market Economies,Emerging and Developing Europe
BFA,10,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,20,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,30,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,40,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,50,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,60,0.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,70,24137073.477833822,Low Income Developing Countries,Sub-Sahara Africa
BFA,80,30295513.493492264,Low Income Developing Countries,Sub-Sahara Africa
BFA,90,26684092.167408176,Low Income Developing Countries,Sub-Sahara Africa
BFA,100,31136636.549294394,Low Income Developing Countries,Sub-Sahara Africa
BDI,10,7366168.229784229,Low Income Developing Countries,Sub-Sahara Africa
BDI,20,15469452.690169226,Low Income Developing Countries,Sub-Sahara Africa
BDI,30,9438913.26673264,Low Income Developing Countries,Sub-Sahara Africa
BDI,40,11573090.05327979,Low Income Developing Countries,Sub-Sahara Africa
BDI,50,12508810.006134143,Low Income Developing Countries,Sub-Sahara Africa
BDI,60,9058353.156478126,Low Income Developing Countries,Sub-Sahara Africa
BDI,70,11344336.359651495,Low Income Developing Countries,Sub-Sahara Africa
BDI,80,8909257.019616507,Low Income Developing Countries,Sub-Sahara Africa
BDI,90,8893842.166053047,Low Income Developing Countries,Sub-Sahara Africa
BDI,100,7958203.734254058,Low Income Developing Countries,Sub-Sahara Africa
CPV,10,1277360.8224387965,Emerging Market Economies,Sub-Sahara Africa
CPV,20,590938.7887465658,Emerging Market Economies,Sub-Sahara Africa
CPV,30,1259853.4040736968,Emerging Market Economies,Sub-Sahara Africa
CPV,40,485447.2414899292,Emerging Market Economies,Sub-Sahara Africa
CPV,50,562689.5730487448,Emerging Market Economies,Sub-Sahara Africa
CPV,60,242858.5993277277,Emerging Market Economies,Sub-Sahara Africa
CPV,70,228510.3482763229,Emerging Market Economies,Sub-Sahara Africa
CPV,80,179934.9759756028,Emerging Market Economies,Sub-Sahara Africa
CPV,90,580445.0716856457,Emerging Market Economies,Sub-Sahara Africa
CPV,100,728638.761726677,Emerging Market Economies,Sub-Sahara Africa
KHM,10,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,20,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,30,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,40,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,50,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,60,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,70,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,80,0.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,90,22715703.141708527,Low Income Developing Countries,Emerging and Developing Asia
KHM,100,29084830.572256517,Low Income Developing Countries,Emerging and Developing Asia
CMR,10,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,20,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,30,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,40,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,50,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,60,0.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,70,30600562.560823627,Low Income Developing Countries,Sub-Sahara Africa
CMR,80,49208263.040482335,Low Income Developing Countries,Sub-Sahara Africa
CMR,90,57793688.45012041,Low Income Developing Countries,Sub-Sahara Africa
CMR,100,75282245.39614269,Low Income Developing Countries,Sub-Sahara Africa
CAN,10,180655608.97849107,Advanced Economies,Advanced Economies
CAN,20,31934040.903915085,Advanced Economies,Advanced Economies
CAN,30,36937942.12330859,Advanced Economies,Advanced Economies
CAN,40,40356687.979951926,Advanced Economies,Advanced Economies
CAN,50,59053472.97586671,Advanced Economies,Advanced Economies
CAN,60,60388084.04111691,Advanced Economies,Advanced Economies
CAN,70,114873458.11349851,Advanced Economies,Advanced Economies
CAN,80,333847805.9810955,Advanced Economies,Advanced Economies
CAN,90,1245616549.8238285,Advanced Economies,Advanced Economies
CAN,100,4269777143.7965,Advanced Economies,Advanced Economies
CAF,10,21294171.13475408,Low Income Developing Countries,Sub-Sahara Africa
CAF,20,24439451.800103445,Low Income Developing Countries,Sub-Sahara Africa
CAF,30,30561121.396731358,Low Income Developing Countries,Sub-Sahara Africa
CAF,40,22942307.67773407,Low Income Developing Countries,Sub-Sahara Africa
CAF,50,22346762.023157805,Low Income Developing Countries,Sub-Sahara Africa
CAF,60,39209106.70005302,Low Income Developing Countries,Sub-Sahara Africa
CAF,70,24993904.19118166,Low Income Developing Countries,Sub-Sahara Africa
CAF,80,40612410.98189701,Low Income Developing Countries,Sub-Sahara Africa
CAF,90,66990606.15390113,Low Income Developing Countries,Sub-Sahara Africa
CAF,100,99066044.97715032,Low Income Developing Countries,Sub-Sahara Africa
TCD,10,30188191.41448249,Low Income Developing Countries,Sub-Sahara Africa
TCD,20,24781054.965190213,Low Income Developing Countries,Sub-Sahara Africa
TCD,30,34473421.86759948,Low Income Developing Countries,Sub-Sahara Africa
TCD,40,30979434.891970564,Low Income Developing Countries,Sub-Sahara Africa
TCD,50,36014572.17015566,Low Income Developing Countries,Sub-Sahara Africa
TCD,60,46198028.15617719,Low Income Developing Countries,Sub-Sahara Africa
TCD,70,53801508.56789907,Low Income Developing Countries,Sub-Sahara Africa
TCD,80,74586113.24583985,Low Income Developing Countries,Sub-Sahara Africa
TCD,90,126475865.06264292,Low Income Developing Countries,Sub-Sahara Africa
TCD,100,379562528.2919522,Low Income Developing Countries,Sub-Sahara Africa
CHL,10,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,20,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,30,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,40,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,50,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,60,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,70,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,80,0.0,Emerging Market Economies,Latin America and the Caribbean
CHL,90,39723661.77642383,Emerging Market Economies,Latin America and the Caribbean
CHL,100,90920992.15246154,Emerging Market Economies,Latin America and the Caribbean
CHN,10,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,20,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,30,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,40,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,50,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,60,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,70,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,80,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,90,0.0,Emerging Market Economies,Emerging and Developing Asia
CHN,100,2846210816.3865347,Emerging Market Economies,Emerging and Developing Asia
COL,10,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,20,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,30,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,40,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,50,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,60,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,70,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,80,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,90,0.0,Emerging Market Economies,Latin America and the Caribbean
COL,100,396833352.27466387,Emerging Market Economies,Latin America and the Caribbean
COD,10,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,20,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,30,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,40,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,50,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,60,0.0,Low Income Developing Countries,Sub-Sahara Africa
COD,70,285158509.4306689,Low Income Developing Countries,Sub-Sahara Africa
COD,80,231070487.311009,Low Income Developing Countries,Sub-Sahara Africa
COD,90,256239804.5374211,Low Income Developing Countries,Sub-Sahara Africa
COD,100,352260654.6896783,Low Income Developing Countries,Sub-Sahara Africa
COG,10,0.0,Low Income Developing Countries,Sub-Sahara Africa
COG,20,0.0,Low Income Developing Countries,Sub-Sahara Africa
COG,30,0.0,Low Income Developing Countries,Sub-Sahara Africa
COG,40,16102425.96832675,Low Income Developing Countries,Sub-Sahara Africa
COG,50,13179284.269345824,Low Income Developing Countries,Sub-Sahara Africa
COG,60,17215010.74422927,Low Income Developing Countries,Sub-Sahara Africa
COG,70,17138344.207852304,Low Income Developing Countries,Sub-Sahara Africa
COG,80,32133092.05860465,Low Income Developing Countries,Sub-Sahara Africa
COG,90,39806492.351502344,Low Income Developing Countries,Sub-Sahara Africa
COG,100,16289492.31708654,Low Income Developing Countries,Sub-Sahara Africa
CRI,10,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,20,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,30,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,40,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,50,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,60,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,70,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,80,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,90,0.0,Emerging Market Economies,Latin America and the Caribbean
CRI,100,7892973.253081318,Emerging Market Economies,Latin America and the Caribbean
CIV,10,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,20,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,30,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,40,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,50,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,60,0.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,70,28719432.795998264,Low Income Developing Countries,Sub-Sahara Africa
CIV,80,24912730.996835798,Low Income Developing Countries,Sub-Sahara Africa
CIV,90,31313051.654772107,Low Income Developing Countries,Sub-Sahara Africa
CIV,100,31822745.9193507,Low Income Developing Countries,Sub-Sahara Africa
HRV,10,17211298.984218612,Emerging Market Economies,Emerging and Developing Europe
HRV,20,6410849.875448249,Emerging Market Economies,Emerging and Developing Europe
HRV,30,4534146.93457,Emerging Market Economies,Emerging and Developing Europe
HRV,40,4849617.723134473,Emerging Market Economies,Emerging and Developing Europe
HRV,50,3673968.233802015,Emerging Market Economies,Emerging and Developing Europe
HRV,60,3543529.4538657553,Emerging Market Economies,Emerging and Developing Europe
HRV,70,3647210.1719499473,Emerging Market Economies,Emerging and Developing Europe
HRV,80,4185992.8861822984,Emerging Market Economies,Emerging and Developing Europe
HRV,90,6011883.1165361,Emerging Market Economies,Emerging and Developing Europe
HRV,100,6850308.358354593,Emerging Market Economies,Emerging and Developing Europe
CUB,10,17405976.9003561,0.0,0.0
CUB,20,29142030.155292366,0.0,0.0
CUB,30,15756151.153855134,0.0,0.0
CUB,40,10900009.997384802,0.0,0.0
CUB,50,11579338.791450292,0.0,0.0
CUB,60,12714064.989882816,0.0,0.0
CUB,70,9849290.484336715,0.0,0.0
CUB,80,11438803.492127972,0.0,0.0
CUB,90,11718859.201074151,0.0,0.0
CUB,100,13706750.039619338,0.0,0.0
CYP,10,535964.1826034228,Advanced Economies,Advanced Economies
CYP,20,0.0,Advanced Economies,Advanced Economies
CYP,30,3000433.767212351,Advanced Economies,Advanced Economies
CYP,40,0.0,Advanced Economies,Advanced Economies
CYP,50,0.0,Advanced Economies,Advanced Economies
