iso3,decile,population,income,region
ARG,10,24210939.0,Emerging Market Economies,Latin America and the Caribbean
ARG,20,6563459.0,Emerging Market Economies,Latin America and the Caribbean
ARG,30,3593590.0,Emerging Market Economies,Latin America and the Caribbean
ARG,40,3796975.0,Emerging Market Economies,Latin America and the Caribbean
ARG,50,2166594.0,Emerging Market Economies,Latin America and the Caribbean
ARG,60,1783205.0,Emerging Market Economies,Latin America and the Caribbean
ARG,70,1030368.0,Emerging Market Economies,Latin America and the Caribbean
ARG,80,1180028.0,Emerging Market Economies,Latin America and the Caribbean
ARG,90,586526.0,Emerging Market Economies,Latin America and the Caribbean
ARG,100,325953.0,Emerging Market Economies,Latin America and the Caribbean
ARM,10,998494.0,Emerging Market Economies,Caucasus and Central Asia
ARM,20,303801.0,Emerging Market Economies,Caucasus and Central Asia
ARM,30,259765.0,Emerging Market Economies,Caucasus and Central Asia
ARM,40,212401.0,Emerging Market Economies,Caucasus and Central Asia
ARM,50,220125.0,Emerging Market Economies,Caucasus and Central Asia
ARM,60,191189.0,Emerging Market Economies,Caucasus and Central Asia
ARM,70,129528.0,Emerging Market Economies,Caucasus and Central Asia
ARM,80,110057.0,Emerging Market Economies,Caucasus and Central Asia
ARM,90,210800.0,Emerging Market Economies,Caucasus and Central Asia
ARM,100,153801.0,Emerging Market Economies,Caucasus and Central Asia
AUS,10,4486595.0,Advanced Economies,Advanced Economies
AUS,20,6753033.0,Advanced Economies,Advanced Economies
AUS,30,5162098.0,Advanced Economies,Advanced Economies
AUS,40,1959489.0,Advanced Economies,Advanced Economies
AUS,50,1197177.0,Advanced Economies,Advanced Economies
AUS,60,613888.0,Advanced Economies,Advanced Economies
AUS,70,393569.0,Advanced Economies,Advanced Economies
AUS,80,236527.0,Advanced Economies,Advanced Economies
AUS,90,168960.0,Advanced Economies,Advanced Economies
AUS,100,108439.0,Advanced Economies,Advanced Economies
AUT,10,4361121.0,Advanced Economies,Advanced Economies
AUT,20,928249.0,Advanced Economies,Advanced Economies
AUT,30,729246.0,Advanced Economies,Advanced Economies
AUT,40,505952.0,Advanced Economies,Advanced Economies
AUT,50,533582.0,Advanced Economies,Advanced Economies
AUT,60,443499.0,Advanced Economies,Advanced Economies
AUT,70,353675.0,Advanced Economies,Advanced Economies
AUT,80,377525.0,Advanced Economies,Advanced Economies
AUT,90,320300.0,Advanced Economies,Advanced Economies
AUT,100,229592.0,Advanced Economies,Advanced Economies
AZE,10,3362731.0,Emerging Market Economies,Caucasus and Central Asia
AZE,20,1082087.0,Emerging Market Economies,Caucasus and Central Asia
AZE,30,1186514.0,Emerging Market Economies,Caucasus and Central Asia
AZE,40,800550.0,Emerging Market Economies,Caucasus and Central Asia
AZE,50,692711.0,Emerging Market Economies,Caucasus and Central Asia
AZE,60,764422.0,Emerging Market Economies,Caucasus and Central Asia
AZE,70,819584.0,Emerging Market Economies,Caucasus and Central Asia
AZE,80,672328.0,Emerging Market Economies,Caucasus and Central Asia
AZE,90,506538.0,Emerging Market Economies,Caucasus and Central Asia
AZE,100,332834.0,Emerging Market Economies,Caucasus and Central Asia
BHR,10,624938.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,30,311962.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,60,614354.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,80,449411.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,90,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,100,239097.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BGD,10,17750065.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,20,26658099.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,30,21248529.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,40,19358557.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,50,17124182.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,60,16895611.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,70,13303923.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,80,13371435.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,90,11849044.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,100,7160951.0,Low Income Developing Countries,Emerging and Developing Asia
BRB,10,82748.0,Emerging Market Economies,Latin America and the Caribbean
BRB,20,51535.0,Emerging Market Economies,Latin America and the Caribbean
BRB,30,27121.0,Emerging Market Economies,Latin America and the Caribbean
BRB,40,37264.0,Emerging Market Economies,Latin America and the Caribbean
BRB,50,17288.0,Emerging Market Economies,Latin America and the Caribbean
BRB,60,20466.0,Emerging Market Economies,Latin America and the Caribbean
BRB,70,10627.0,Emerging Market Economies,Latin America and the Caribbean
BRB,80,9142.0,Emerging Market Economies,Latin America and the Caribbean
BRB,90,9118.0,Emerging Market Economies,Latin America and the Caribbean
BRB,100,10137.0,Emerging Market Economies,Latin America and the Caribbean
BLR,10,5369484.0,Emerging Market Economies,Emerging and Developing Europe
BLR,20,1298640.0,Emerging Market Economies,Emerging and Developing Europe
BLR,30,617936.0,Emerging Market Economies,Emerging and Developing Europe
BLR,40,416965.0,Emerging Market Economies,Emerging and Developing Europe
BLR,50,362606.0,Emerging Market Economies,Emerging and Developing Europe
BLR,60,293268.0,Emerging Market Economies,Emerging and Developing Europe
BLR,70,210193.0,Emerging Market Economies,Emerging and Developing Europe
BLR,80,222546.0,Emerging Market Economies,Emerging and Developing Europe
BLR,90,196132.0,Emerging Market Economies,Emerging and Developing Europe
BLR,100,181720.0,Emerging Market Economies,Emerging and Developing Europe
BEL,10,3472380.0,Advanced Economies,Advanced Economies
BEL,20,1579585.0,Advanced Economies,Advanced Economies
BEL,30,1168656.0,Advanced Economies,Advanced Economies
BEL,40,1364790.0,Advanced Economies,Advanced Economies
BEL,50,1346077.0,Advanced Economies,Advanced Economies
BEL,60,996781.0,Advanced Economies,Advanced Economies
BEL,70,381139.0,Advanced Economies,Advanced Economies
BEL,80,378695.0,Advanced Economies,Advanced Economies
BEL,90,571235.0,Advanced Economies,Advanced Economies
BEL,100,339246.0,Advanced Economies,Advanced Economies
BLZ,10,129640.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,30,52926.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,50,46163.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,60,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,70,98797.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,80,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,90,46413.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,100,36682.0,Emerging Market Economies,Latin America and the Caribbean
BEN,10,3033395.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,20,1320379.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,30,933318.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,40,1060272.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,50,852005.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,60,701654.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,70,1370380.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,80,1398367.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,90,1261314.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,100,1084110.0,Low Income Developing Countries,Sub-Sahara Africa
BTN,10,256276.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,20,102254.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,30,106184.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,40,72835.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,50,61559.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,60,71887.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,70,57771.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,80,49076.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,90,52487.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,100,28107.0,Low Income Developing Countries,Emerging and Developing Asia
BOL,10,6799358.0,Emerging Market Economies,Latin America and the Caribbean
BOL,20,846383.0,Emerging Market Economies,Latin America and the Caribbean
BOL,30,842794.0,Emerging Market Economies,Latin America and the Caribbean
BOL,40,497856.0,Emerging Market Economies,Latin America and the Caribbean
BOL,50,588090.0,Emerging Market Economies,Latin America and the Caribbean
BOL,60,737932.0,Emerging Market Economies,Latin America and the Caribbean
BOL,70,464622.0,Emerging Market Economies,Latin America and the Caribbean
BOL,80,432711.0,Emerging Market Economies,Latin America and the Caribbean
BOL,90,355203.0,Emerging Market Economies,Latin America and the Caribbean
BOL,100,295488.0,Emerging Market Economies,Latin America and the Caribbean
BIH,10,515776.0,Emerging Market Economies,Emerging and Developing Europe
BIH,20,471153.0,Emerging Market Economies,Emerging and Developing Europe
BIH,30,475781.0,Emerging Market Economies,Emerging and Developing Europe
BIH,40,246380.0,Emerging Market Economies,Emerging and Developing Europe
BIH,50,251483.0,Emerging Market Economies,Emerging and Developing Europe
BIH,60,377198.0,Emerging Market Economies,Emerging and Developing Europe
BIH,70,522383.0,Emerging Market Economies,Emerging and Developing Europe
BIH,80,237766.0,Emerging Market Economies,Emerging and Developing Europe
BIH,90,151687.0,Emerging Market Economies,Emerging and Developing Europe
BIH,100,101618.0,Emerging Market Economies,Emerging and Developing Europe
BWA,10,172465.0,Emerging Market Economies,Sub-Sahara Africa
BWA,20,381412.0,Emerging Market Economies,Sub-Sahara Africa
BWA,30,394651.0,Emerging Market Economies,Sub-Sahara Africa
BWA,40,288706.0,Emerging Market Economies,Sub-Sahara Africa
BWA,50,211130.0,Emerging Market Economies,Sub-Sahara Africa
BWA,60,187006.0,Emerging Market Economies,Sub-Sahara Africa
BWA,70,379956.0,Emerging Market Economies,Sub-Sahara Africa
BWA,80,200897.0,Emerging Market Economies,Sub-Sahara Africa
BWA,90,129470.0,Emerging Market Economies,Sub-Sahara Africa
BWA,100,57031.0,Emerging Market Economies,Sub-Sahara Africa
BRA,10,118027198.0,Emerging Market Economies,Latin America and the Caribbean
BRA,20,28130188.0,Emerging Market Economies,Latin America and the Caribbean
BRA,30,15783448.0,Emerging Market Economies,Latin America and the Caribbean
BRA,40,11277933.0,Emerging Market Economies,Latin America and the Caribbean
BRA,50,9070546.0,Emerging Market Economies,Latin America and the Caribbean
BRA,60,7999117.0,Emerging Market Economies,Latin America and the Caribbean
BRA,70,6721339.0,Emerging Market Economies,Latin America and the Caribbean
BRA,80,5864607.0,Emerging Market Economies,Latin America and the Caribbean
BRA,90,5807064.0,Emerging Market Economies,Latin America and the Caribbean
BRA,100,5914041.0,Emerging Market Economies,Latin America and the Caribbean
BRN,10,173492.0,Emerging Market Economies,Emerging and Developing Asia
BRN,20,92435.0,Emerging Market Economies,Emerging and Developing Asia
BRN,30,69406.0,Emerging Market Economies,Emerging and Developing Asia
BRN,40,39361.0,Emerging Market Economies,Emerging and Developing Asia
BRN,50,35429.0,Emerging Market Economies,Emerging and Developing Asia
BRN,60,19880.0,Emerging Market Economies,Emerging and Developing Asia
BRN,70,9937.0,Emerging Market Economies,Emerging and Developing Asia
BRN,80,5298.0,Emerging Market Economies,Emerging and Developing Asia
BRN,90,3058.0,Emerging Market Economies,Emerging and Developing Asia
BRN,100,838.0,Emerging Market Economies,Emerging and Developing Asia
BGR,10,3629130.0,Emerging Market Economies,Emerging and Developing Europe
BGR,20,860760.0,Emerging Market Economies,Emerging and Developing Europe
BGR,30,677118.0,Emerging Market Economies,Emerging and Developing Europe
BGR,40,408538.0,Emerging Market Economies,Emerging and Developing Europe
BGR,50,359983.0,Emerging Market Economies,Emerging and Developing Europe
BGR,60,315482.0,Emerging Market Economies,Emerging and Developing Europe
BGR,70,227701.0,Emerging Market Economies,Emerging and Developing Europe
BGR,80,187828.0,Emerging Market Economies,Emerging and Developing Europe
BGR,90,151699.0,Emerging Market Economies,Emerging and Developing Europe
BGR,100,97640.0,Emerging Market Economies,Emerging and Developing Europe
BFA,10,7827690.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,20,1463769.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,30,2446414.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,40,1472016.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,50,1534317.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,60,2034260.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,70,1425054.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,80,1704370.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,90,1406767.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,100,1503143.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,10,1146190.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,20,1983476.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,30,1107856.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,40,1309449.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,50,1369291.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,60,957586.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,70,1174241.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,80,877354.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,90,835136.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,100,594002.0,Low Income Developing Countries,Sub-Sahara Africa
CPV,10,181703.0,Emerging Market Economies,Sub-Sahara Africa
CPV,20,61119.0,Emerging Market Economies,Sub-Sahara Africa
CPV,30,118477.0,Emerging Market Economies,Sub-Sahara Africa
CPV,40,38816.0,Emerging Market Economies,Sub-Sahara Africa
CPV,50,40681.0,Emerging Market Economies,Sub-Sahara Africa
CPV,60,16309.0,Emerging Market Economies,Sub-Sahara Africa
CPV,70,14111.0,Emerging Market Economies,Sub-Sahara Africa
CPV,80,10136.0,Emerging Market Economies,Sub-Sahara Africa
CPV,90,26923.0,Emerging Market Economies,Sub-Sahara Africa
CPV,100,22894.0,Emerging Market Economies,Sub-Sahara Africa
KHM,10,4225797.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,20,3816765.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,30,1722529.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,40,1947352.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,50,1509796.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,60,1746796.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,70,1797472.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,80,1410596.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,90,996694.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,100,431118.0,Low Income Developing Countries,Emerging and Developing Asia
CMR,10,9246476.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,20,3440230.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,30,2805131.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,40,2074836.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,50,3076237.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,60,2070241.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,70,1412892.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,80,1721255.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,90,1463821.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,100,898226.0,Low Income Developing Countries,Sub-Sahara Africa
CAN,10,24684716.0,Advanced Economies,Advanced Economies
CAN,20,2885372.0,Advanced Economies,Advanced Economies
CAN,30,2444346.0,Advanced Economies,Advanced Economies
CAN,40,1932225.0,Advanced Economies,Advanced Economies
CAN,50,1568680.0,Advanced Economies,Advanced Economies
CAN,60,849416.0,Advanced Economies,Advanced Economies
CAN,70,780262.0,Advanced Economies,Advanced Economies
CAN,80,776556.0,Advanced Economies,Advanced Economies
CAN,90,419382.0,Advanced Economies,Advanced Economies
CAN,100,46720.0,Advanced Economies,Advanced Economies
CAF,10,1529042.0,,
CAF,20,931210.0,,
CAF,30,787708.0,,
CAF,40,460901.0,,
CAF,50,354107.0,,
CAF,60,545637.0,,
CAF,70,287113.0,,
CAF,80,264653.0,,
CAF,90,172189.0,,
CAF,100,66451.0,,
TCD,10,2761039.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,20,1683305.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,30,2010848.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,40,1569700.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,50,1677090.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,60,1916914.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,70,1526642.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,80,1405231.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,90,1227352.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,100,798065.0,Low Income Developing Countries,Sub-Sahara Africa
CHL,10,10850575.0,Emerging Market Economies,Latin America and the Caribbean
CHL,20,1473201.0,Emerging Market Economies,Latin America and the Caribbean
CHL,30,2294881.0,Emerging Market Economies,Latin America and the Caribbean
CHL,40,1743486.0,Emerging Market Economies,Latin America and the Caribbean
CHL,50,1506992.0,Emerging Market Economies,Latin America and the Caribbean
CHL,60,432855.0,Emerging Market Economies,Latin America and the Caribbean
CHL,70,1023802.0,Emerging Market Economies,Latin America and the Caribbean
CHL,80,1117840.0,Emerging Market Economies,Latin America and the Caribbean
CHL,90,159289.0,Emerging Market Economies,Latin America and the Caribbean
CHL,100,50527.0,Emerging Market Economies,Latin America and the Caribbean
CHN,10,400588832.0,Emerging Market Economies,Emerging and Developing Asia
CHN,20,203316304.0,Emerging Market Economies,Emerging and Developing Asia
CHN,30,186888080.0,Emerging Market Economies,Emerging and Developing Asia
CHN,40,171519677.0,Emerging Market Economies,Emerging and Developing Asia
CHN,50,132176778.0,Emerging Market Economies,Emerging and Developing Asia
CHN,60,117704769.0,Emerging Market Economies,Emerging and Developing Asia
CHN,70,82067139.0,Emerging Market Economies,Emerging and Developing Asia
CHN,80,67306422.0,Emerging Market Economies,Emerging and Developing Asia
CHN,90,54791086.0,Emerging Market Economies,Emerging and Developing Asia
CHN,100,23155699.0,Emerging Market Economies,Emerging and Developing Asia
COL,10,36371184.0,Emerging Market Economies,Latin America and the Caribbean
COL,20,5977664.0,Emerging Market Economies,Latin America and the Caribbean
COL,30,4498631.0,Emerging Market Economies,Latin America and the Caribbean
COL,40,3095246.0,Emerging Market Economies,Latin America and the Caribbean
COL,50,3400194.0,Emerging Market Economies,Latin America and the Caribbean
COL,60,2124155.0,Emerging Market Economies,Latin America and the Caribbean
COL,70,2315208.0,Emerging Market Economies,Latin America and the Caribbean
COL,80,1872692.0,Emerging Market Economies,Latin America and the Caribbean
COL,90,1585739.0,Emerging Market Economies,Latin America and the Caribbean
COL,100,1759422.0,Emerging Market Economies,Latin America and the Caribbean
COD,10,17335627.0,Low Income Developing Countries,Sub-Sahara Africa
COD,20,10280901.0,Low Income Developing Countries,Sub-Sahara Africa
COD,30,3411547.0,Low Income Developing Countries,Sub-Sahara Africa
COD,40,12102929.0,Low Income Developing Countries,Sub-Sahara Africa
COD,50,20437293.0,Low Income Developing Countries,Sub-Sahara Africa
COD,60,16960582.0,Low Income Developing Countries,Sub-Sahara Africa
COD,70,14135778.0,Low Income Developing Countries,Sub-Sahara Africa
COD,80,9533380.0,Low Income Developing Countries,Sub-Sahara Africa
COD,90,6481143.0,Low Income Developing Countries,Sub-Sahara Africa
COD,100,3731158.0,Low Income Developing Countries,Sub-Sahara Africa
COG,10,1678342.0,Low Income Developing Countries,Sub-Sahara Africa
COG,20,378919.0,Low Income Developing Countries,Sub-Sahara Africa
COG,30,1052750.0,Low Income Developing Countries,Sub-Sahara Africa
COG,40,211451.0,Low Income Developing Countries,Sub-Sahara Africa
COG,50,151773.0,Low Income Developing Countries,Sub-Sahara Africa
COG,60,154691.0,Low Income Developing Countries,Sub-Sahara Africa
COG,70,111903.0,Low Income Developing Countries,Sub-Sahara Africa
COG,80,165314.0,Low Income Developing Countries,Sub-Sahara Africa
COG,90,122272.0,Low Income Developing Countries,Sub-Sahara Africa
COG,100,12460.0,Low Income Developing Countries,Sub-Sahara Africa
CRI,10,742540.0,Emerging Market Economies,Latin America and the Caribbean
CRI,20,662080.0,Emerging Market Economies,Latin America and the Caribbean
CRI,30,817922.0,Emerging Market Economies,Latin America and the Caribbean
CRI,40,396716.0,Emerging Market Economies,Latin America and the Caribbean
CRI,50,303690.0,Emerging Market Economies,Latin America and the Caribbean
CRI,60,392963.0,Emerging Market Economies,Latin America and the Caribbean
CRI,70,576014.0,Emerging Market Economies,Latin America and the Caribbean
CRI,80,429932.0,Emerging Market Economies,Latin America and the Caribbean
CRI,90,256916.0,Emerging Market Economies,Latin America and the Caribbean
CRI,100,230584.0,Emerging Market Economies,Latin America and the Caribbean
CIV,10,8088529.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,20,3455766.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,30,3498665.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,40,1855783.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,50,2138716.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,60,2281748.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,70,1578371.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,80,1313540.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,90,1425197.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,100,869467.0,Low Income Developing Countries,Sub-Sahara Africa
HRV,10,2038710.0,Emerging Market Economies,Emerging and Developing Europe
HRV,20,499927.0,Emerging Market Economies,Emerging and Developing Europe
HRV,30,310417.0,Emerging Market Economies,Emerging and Developing Europe
HRV,40,299884.0,Emerging Market Economies,Emerging and Developing Europe
HRV,50,204046.0,Emerging Market Economies,Emerging and Developing Europe
HRV,60,179954.0,Emerging Market Economies,Emerging and Developing Europe
HRV,70,168180.0,Emerging Market Economies,Emerging and Developing Europe
HRV,80,155680.0,Emerging Market Economies,Emerging and Developing Europe
HRV,90,152485.0,Emerging Market Economies,Emerging and Developing Europe
HRV,100,85136.0,Emerging Market Economies,Emerging and Developing Europe
CUB,10,2408972.0,,
CUB,20,2889766.0,,
CUB,30,1247285.0,,
CUB,40,770920.0,,
CUB,50,776398.0,,
CUB,60,798384.0,,
CUB,70,575752.0,,
CUB,80,619316.0,,
CUB,90,580188.0,,
CUB,100,390840.0,,
CYP,10,50949.0,Advanced Economies,Advanced Economies
CYP,20,0.0,Advanced Economies,Advanced Economies
CYP,30,271283.0,Advanced Economies,Advanced Economies
CYP,40,0.0,Advanced Economies,Advanced Economies
CYP,50,0.0,Advanced Economies,Advanced Economies
CYP,60,345447.0,Advanced Economies,Advanced Economies
CYP,70,0.0,Advanced Economies,Advanced Economies
CYP,80,158721.0,Advanced Economies,Advanced Economies
CYP,90,0.0,Advanced Economies,Advanced Economies
CYP,100,119242.0,Advanced Economies,Advanced Economies
CZE,10,631322.0,Advanced Economies,Advanced Economies
CZE,20,619241.0,Advanced Economies,Advanced Economies
CZE,30,1837075.0,Advanced Economies,Advanced Economies
CZE,40,1509782.0,Advanced Economies,Advanced Economies
CZE,50,1485384.0,Advanced Economies,Advanced Economies
CZE,60,1284103.0,Advanced Economies,Advanced Economies
CZE,70,981499.0,Advanced Economies,Advanced Economies
CZE,80,855444.0,Advanced Economies,Advanced Economies
CZE,90,975595.0,Advanced Economies,Advanced Economies
CZE,100,661110.0,Advanced Economies,Advanced Economies
DNK,10,1107002.0,Advanced Economies,Advanced Economies
DNK,20,678715.0,Advanced Economies,Advanced Economies
DNK,30,621490.0,Advanced Economies,Advanced Economies
DNK,40,803524.0,Advanced Economies,Advanced Economies
DNK,50,562503.0,Advanced Economies,Advanced Economies
DNK,60,511990.0,Advanced Economies,Advanced Economies
