iso3,decile,area,income,region
BHR,30,35.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,60,77.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,80,150.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,90,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,100,401.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BGD,10,605.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,20,8939.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,30,12510.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,40,13840.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,50,14195.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,60,15911.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,70,13994.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,80,15983.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,90,16252.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,100,26783.0,Low Income Developing Countries,Emerging and Developing Asia
BRB,10,41.0,Emerging Market Economies,Latin America and the Caribbean
BRB,20,60.0,Emerging Market Economies,Latin America and the Caribbean
BRB,30,33.0,Emerging Market Economies,Latin America and the Caribbean
BRB,40,62.0,Emerging Market Economies,Latin America and the Caribbean
BRB,50,34.0,Emerging Market Economies,Latin America and the Caribbean
BRB,60,43.0,Emerging Market Economies,Latin America and the Caribbean
BRB,70,34.0,Emerging Market Economies,Latin America and the Caribbean
BRB,80,35.0,Emerging Market Economies,Latin America and the Caribbean
BRB,90,36.0,Emerging Market Economies,Latin America and the Caribbean
BRB,100,58.0,Emerging Market Economies,Latin America and the Caribbean
BLR,10,23743.0,Emerging Market Economies,Emerging and Developing Europe
BLR,20,24034.0,Emerging Market Economies,Emerging and Developing Europe
BLR,30,20154.0,Emerging Market Economies,Emerging and Developing Europe
BLR,40,19321.0,Emerging Market Economies,Emerging and Developing Europe
BLR,50,20504.0,Emerging Market Economies,Emerging and Developing Europe
BLR,60,19306.0,Emerging Market Economies,Emerging and Developing Europe
BLR,70,15610.0,Emerging Market Economies,Emerging and Developing Europe
BLR,80,19775.0,Emerging Market Economies,Emerging and Developing Europe
BLR,90,20254.0,Emerging Market Economies,Emerging and Developing Europe
BLR,100,24372.0,Emerging Market Economies,Emerging and Developing Europe
BEL,10,2640.0,Advanced Economies,Advanced Economies
BEL,20,2398.0,Advanced Economies,Advanced Economies
BEL,30,2017.0,Advanced Economies,Advanced Economies
BEL,40,3011.0,Advanced Economies,Advanced Economies
BEL,50,3606.0,Advanced Economies,Advanced Economies
BEL,60,3465.0,Advanced Economies,Advanced Economies
BEL,70,1630.0,Advanced Economies,Advanced Economies
BEL,80,2032.0,Advanced Economies,Advanced Economies
BEL,90,4197.0,Advanced Economies,Advanced Economies
BEL,100,5704.0,Advanced Economies,Advanced Economies
BLZ,10,3275.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,30,1992.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,50,2306.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,60,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,70,5293.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,80,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,90,4605.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,100,4399.0,Emerging Market Economies,Latin America and the Caribbean
BEN,10,1150.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,20,1578.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,30,2001.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,40,2993.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,50,3681.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,60,5469.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,70,16433.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,80,20223.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,90,25018.0,Low Income Developing Countries,Sub-Sahara Africa
BEN,100,36871.0,Low Income Developing Countries,Sub-Sahara Africa
BTN,10,974.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,20,1151.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,30,1713.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,40,1542.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,50,1694.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,60,2956.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,70,3787.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,80,4782.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,90,7736.0,Low Income Developing Countries,Emerging and Developing Asia
BTN,100,12429.0,Low Income Developing Countries,Emerging and Developing Asia
BOL,10,18304.0,Emerging Market Economies,Latin America and the Caribbean
BOL,20,17394.0,Emerging Market Economies,Latin America and the Caribbean
BOL,30,34509.0,Emerging Market Economies,Latin America and the Caribbean
BOL,40,29612.0,Emerging Market Economies,Latin America and the Caribbean
BOL,50,49804.0,Emerging Market Economies,Latin America and the Caribbean
BOL,60,89576.0,Emerging Market Economies,Latin America and the Caribbean
BOL,70,80003.0,Emerging Market Economies,Latin America and the Caribbean
BOL,80,108212.0,Emerging Market Economies,Latin America and the Caribbean
BOL,90,210736.0,Emerging Market Economies,Latin America and the Caribbean
BOL,100,445237.0,Emerging Market Economies,Latin America and the Caribbean
BIH,10,1769.0,Emerging Market Economies,Emerging and Developing Europe
BIH,20,2994.0,Emerging Market Economies,Emerging and Developing Europe
BIH,30,4640.0,Emerging Market Economies,Emerging and Developing Europe
BIH,40,3202.0,Emerging Market Economies,Emerging and Developing Europe
BIH,50,3635.0,Emerging Market Economies,Emerging and Developing Europe
BIH,60,6071.0,Emerging Market Economies,Emerging and Developing Europe
BIH,70,9717.0,Emerging Market Economies,Emerging and Developing Europe
BIH,80,4726.0,Emerging Market Economies,Emerging and Developing Europe
BIH,90,7330.0,Emerging Market Economies,Emerging and Developing Europe
BIH,100,6987.0,Emerging Market Economies,Emerging and Developing Europe
BWA,10,163.0,Emerging Market Economies,Sub-Sahara Africa
BWA,20,2023.0,Emerging Market Economies,Sub-Sahara Africa
BWA,30,10929.0,Emerging Market Economies,Sub-Sahara Africa
BWA,40,20788.0,Emerging Market Economies,Sub-Sahara Africa
BWA,50,26706.0,Emerging Market Economies,Sub-Sahara Africa
BWA,60,30432.0,Emerging Market Economies,Sub-Sahara Africa
BWA,70,103645.0,Emerging Market Economies,Sub-Sahara Africa
BWA,80,100675.0,Emerging Market Economies,Sub-Sahara Africa
BWA,90,137868.0,Emerging Market Economies,Sub-Sahara Africa
BWA,100,145005.0,Emerging Market Economies,Sub-Sahara Africa
BRA,10,105443.0,Emerging Market Economies,Latin America and the Caribbean
BRA,20,225922.0,Emerging Market Economies,Latin America and the Caribbean
BRA,30,277214.0,Emerging Market Economies,Latin America and the Caribbean
BRA,40,312200.0,Emerging Market Economies,Latin America and the Caribbean
BRA,50,351071.0,Emerging Market Economies,Latin America and the Caribbean
BRA,60,415763.0,Emerging Market Economies,Latin America and the Caribbean
BRA,70,490188.0,Emerging Market Economies,Latin America and the Caribbean
BRA,80,635507.0,Emerging Market Economies,Latin America and the Caribbean
BRA,90,1118441.0,Emerging Market Economies,Latin America and the Caribbean
BRA,100,4574191.0,Emerging Market Economies,Latin America and the Caribbean
BRN,10,162.0,Emerging Market Economies,Emerging and Developing Asia
BRN,20,156.0,Emerging Market Economies,Emerging and Developing Asia
BRN,30,165.0,Emerging Market Economies,Emerging and Developing Asia
BRN,40,181.0,Emerging Market Economies,Emerging and Developing Asia
BRN,50,310.0,Emerging Market Economies,Emerging and Developing Asia
BRN,60,251.0,Emerging Market Economies,Emerging and Developing Asia
BRN,70,366.0,Emerging Market Economies,Emerging and Developing Asia
BRN,80,862.0,Emerging Market Economies,Emerging and Developing Asia
BRN,90,1219.0,Emerging Market Economies,Emerging and Developing Asia
BRN,100,2107.0,Emerging Market Economies,Emerging and Developing Asia
BGR,10,12003.0,Emerging Market Economies,Emerging and Developing Europe
BGR,20,11301.0,Emerging Market Economies,Emerging and Developing Europe
BGR,30,13651.0,Emerging Market Economies,Emerging and Developing Europe
BGR,40,10604.0,Emerging Market Economies,Emerging and Developing Europe
BGR,50,11189.0,Emerging Market Economies,Emerging and Developing Europe
BGR,60,11489.0,Emerging Market Economies,Emerging and Developing Europe
BGR,70,9725.0,Emerging Market Economies,Emerging and Developing Europe
BGR,80,10103.0,Emerging Market Economies,Emerging and Developing Europe
BGR,90,10559.0,Emerging Market Economies,Emerging and Developing Europe
BGR,100,11383.0,Emerging Market Economies,Emerging and Developing Europe
BFA,10,28015.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,20,13183.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,30,25099.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,40,19497.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,50,22000.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,60,32439.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,70,24308.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,80,32832.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,90,32629.0,Low Income Developing Countries,Sub-Sahara Africa
BFA,100,43415.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,10,300.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,20,2020.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,30,1752.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,40,2487.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,50,2990.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,60,2389.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,70,3423.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,80,2919.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,90,3445.0,Low Income Developing Countries,Sub-Sahara Africa
BDI,100,5214.0,Low Income Developing Countries,Sub-Sahara Africa
CPV,10,122.0,Emerging Market Economies,Sub-Sahara Africa
CPV,20,167.0,Emerging Market Economies,Sub-Sahara Africa
CPV,30,488.0,Emerging Market Economies,Sub-Sahara Africa
CPV,40,269.0,Emerging Market Economies,Sub-Sahara Africa
CPV,50,381.0,Emerging Market Economies,Sub-Sahara Africa
CPV,60,195.0,Emerging Market Economies,Sub-Sahara Africa
CPV,70,211.0,Emerging Market Economies,Sub-Sahara Africa
CPV,80,195.0,Emerging Market Economies,Sub-Sahara Africa
CPV,90,864.0,Emerging Market Economies,Sub-Sahara Africa
CPV,100,1188.0,Emerging Market Economies,Sub-Sahara Africa
KHM,10,2960.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,20,9828.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,30,6928.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,40,9863.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,50,9604.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,60,14225.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,70,19840.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,80,23908.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,90,36857.0,Low Income Developing Countries,Emerging and Developing Asia
KHM,100,47421.0,Low Income Developing Countries,Emerging and Developing Asia
CMR,10,6824.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,20,13636.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,30,15493.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,40,15450.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,50,30729.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,60,40914.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,70,45790.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,80,80231.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,90,94229.0,Low Income Developing Countries,Sub-Sahara Africa
CMR,100,122743.0,Low Income Developing Countries,Sub-Sahara Africa
CAN,10,21721.0,Advanced Economies,Advanced Economies
CAN,20,13235.0,Advanced Economies,Advanced Economies
CAN,30,30488.0,Advanced Economies,Advanced Economies
CAN,40,57536.0,Advanced Economies,Advanced Economies
CAN,50,96283.0,Advanced Economies,Advanced Economies
CAN,60,98459.0,Advanced Economies,Advanced Economies
CAN,70,187294.0,Advanced Economies,Advanced Economies
CAN,80,544318.0,Advanced Economies,Advanced Economies
CAN,90,2030900.0,Advanced Economies,Advanced Economies
CAN,100,6961605.0,Advanced Economies,Advanced Economies
CAF,10,15044.0,,
CAF,20,39847.0,,
CAF,30,49828.0,,
CAF,40,37406.0,,
CAF,50,36435.0,,
CAF,60,63928.0,,
CAF,70,40751.0,,
CAF,80,66216.0,,
CAF,90,109224.0,,
CAF,100,161521.0,,
TCD,10,12306.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,20,19343.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,30,34981.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,40,40291.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,50,53325.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,60,75323.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,70,87720.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,80,121608.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,90,206211.0,Low Income Developing Countries,Sub-Sahara Africa
TCD,100,618853.0,Low Income Developing Countries,Sub-Sahara Africa
CHL,10,17416.0,Emerging Market Economies,Latin America and the Caribbean
CHL,20,15361.0,Emerging Market Economies,Latin America and the Caribbean
CHL,30,46764.0,Emerging Market Economies,Latin America and the Caribbean
CHL,40,47281.0,Emerging Market Economies,Latin America and the Caribbean
CHL,50,50836.0,Emerging Market Economies,Latin America and the Caribbean
CHL,60,20505.0,Emerging Market Economies,Latin America and the Caribbean
CHL,70,90043.0,Emerging Market Economies,Latin America and the Caribbean
CHL,80,187124.0,Emerging Market Economies,Latin America and the Caribbean
CHL,90,123601.0,Emerging Market Economies,Latin America and the Caribbean
CHL,100,148241.0,Emerging Market Economies,Latin America and the Caribbean
CHN,10,151164.0,Emerging Market Economies,Emerging and Developing Asia
CHN,20,260047.0,Emerging Market Economies,Emerging and Developing Asia
CHN,30,342635.0,Emerging Market Economies,Emerging and Developing Asia
CHN,40,432357.0,Emerging Market Economies,Emerging and Developing Asia
CHN,50,471928.0,Emerging Market Economies,Emerging and Developing Asia
CHN,60,594019.0,Emerging Market Economies,Emerging and Developing Asia
CHN,70,595475.0,Emerging Market Economies,Emerging and Developing Asia
CHN,80,705539.0,Emerging Market Economies,Emerging and Developing Asia
CHN,90,1199079.0,Emerging Market Economies,Emerging and Developing Asia
CHN,100,4640569.0,Emerging Market Economies,Emerging and Developing Asia
COL,10,30288.0,Emerging Market Economies,Latin America and the Caribbean
COL,20,30252.0,Emerging Market Economies,Latin America and the Caribbean
COL,30,39049.0,Emerging Market Economies,Latin America and the Caribbean
COL,40,38459.0,Emerging Market Economies,Latin America and the Caribbean
COL,50,55519.0,Emerging Market Economies,Latin America and the Caribbean
COL,60,49873.0,Emerging Market Economies,Latin America and the Caribbean
COL,70,71098.0,Emerging Market Economies,Latin America and the Caribbean
COL,80,76936.0,Emerging Market Economies,Latin America and the Caribbean
COL,90,98187.0,Emerging Market Economies,Latin America and the Caribbean
COL,100,647012.0,Emerging Market Economies,Latin America and the Caribbean
COD,10,4120.0,Low Income Developing Countries,Sub-Sahara Africa
COD,20,14482.0,Low Income Developing Countries,Sub-Sahara Africa
COD,30,9268.0,Low Income Developing Countries,Sub-Sahara Africa
COD,40,56091.0,Low Income Developing Countries,Sub-Sahara Africa
COD,50,197126.0,Low Income Developing Countries,Sub-Sahara Africa
COD,60,306257.0,Low Income Developing Countries,Sub-Sahara Africa
COD,70,381995.0,Low Income Developing Countries,Sub-Sahara Africa
COD,80,376746.0,Low Income Developing Countries,Sub-Sahara Africa
COD,90,417783.0,Low Income Developing Countries,Sub-Sahara Africa
COD,100,574339.0,Low Income Developing Countries,Sub-Sahara Africa
COG,10,9668.0,Low Income Developing Countries,Sub-Sahara Africa
COG,20,16701.0,Low Income Developing Countries,Sub-Sahara Africa
COG,30,67757.0,Low Income Developing Countries,Sub-Sahara Africa
COG,40,26254.0,Low Income Developing Countries,Sub-Sahara Africa
COG,50,21488.0,Low Income Developing Countries,Sub-Sahara Africa
COG,60,28068.0,Low Income Developing Countries,Sub-Sahara Africa
COG,70,27943.0,Low Income Developing Countries,Sub-Sahara Africa
COG,80,52391.0,Low Income Developing Countries,Sub-Sahara Africa
COG,90,64902.0,Low Income Developing Countries,Sub-Sahara Africa
COG,100,26559.0,Low Income Developing Countries,Sub-Sahara Africa
CRI,10,186.0,Emerging Market Economies,Latin America and the Caribbean
CRI,20,362.0,Emerging Market Economies,Latin America and the Caribbean
CRI,30,1270.0,Emerging Market Economies,Latin America and the Caribbean
CRI,40,1515.0,Emerging Market Economies,Latin America and the Caribbean
CRI,50,2786.0,Emerging Market Economies,Latin America and the Caribbean
CRI,60,5274.0,Emerging Market Economies,Latin America and the Caribbean
CRI,70,9770.0,Emerging Market Economies,Latin America and the Caribbean
CRI,80,8805.0,Emerging Market Economies,Latin America and the Caribbean
CRI,90,8298.0,Emerging Market Economies,Latin America and the Caribbean
CRI,100,12869.0,Emerging Market Economies,Latin America and the Caribbean
CIV,10,18249.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,20,26702.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,30,34713.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,40,20127.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,50,26914.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,60,32311.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,70,32451.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,80,30463.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,90,47842.0,Low Income Developing Countries,Sub-Sahara Africa
CIV,100,51885.0,Low Income Developing Countries,Sub-Sahara Africa
HRV,10,3294.0,Emerging Market Economies,Emerging and Developing Europe
HRV,20,3736.0,Emerging Market Economies,Emerging and Developing Europe
HRV,30,3438.0,Emerging Market Economies,Emerging and Developing Europe
HRV,40,4478.0,Emerging Market Economies,Emerging and Developing Europe
HRV,50,4123.0,Emerging Market Economies,Emerging and Developing Europe
HRV,60,4581.0,Emerging Market Economies,Emerging and Developing Europe
HRV,70,5515.0,Emerging Market Economies,Emerging and Developing Europe
HRV,80,6825.0,Emerging Market Economies,Emerging and Developing Europe
HRV,90,9802.0,Emerging Market Economies,Emerging and Developing Europe
HRV,100,11169.0,Emerging Market Economies,Emerging and Developing Europe
CUB,10,1499.0,,
CUB,20,9548.0,,
CUB,30,9069.0,,
CUB,40,7781.0,,
CUB,50,9211.0,,
CUB,60,11355.0,,
CUB,70,10145.0,,
CUB,80,13190.0,,
CUB,90,15790.0,,
CUB,100,22348.0,,
CYP,10,204.0,Advanced Economies,Advanced Economies
CYP,20,0.0,Advanced Economies,Advanced Economies
CYP,30,1264.0,Advanced Economies,Advanced Economies
CYP,40,0.0,Advanced Economies,Advanced Economies
CYP,50,0.0,Advanced Economies,Advanced Economies
CYP,60,1972.0,Advanced Economies,Advanced Economies
CYP,70,0.0,Advanced Economies,Advanced Economies
CYP,80,913.0,Advanced Economies,Advanced Economies
CYP,90,0.0,Advanced Economies,Advanced Economies
CYP,100,1367.0,Advanced Economies,Advanced Economies
CZE,10,170.0,Advanced Economies,Advanced Economies
CZE,20,262.0,Advanced Economies,Advanced Economies
CZE,30,3026.0,Advanced Economies,Advanced Economies
CZE,40,7408.0,Advanced Economies,Advanced Economies
CZE,50,10115.0,Advanced Economies,Advanced Economies
CZE,60,10168.0,Advanced Economies,Advanced Economies
CZE,70,9683.0,Advanced Economies,Advanced Economies
CZE,80,10554.0,Advanced Economies,Advanced Economies
CZE,90,13815.0,Advanced Economies,Advanced Economies
CZE,100,14116.0,Advanced Economies,Advanced Economies
DNK,10,256.0,Advanced Economies,Advanced Economies
DNK,20,835.0,Advanced Economies,Advanced Economies
DNK,30,1267.0,Advanced Economies,Advanced Economies
DNK,40,4666.0,Advanced Economies,Advanced Economies
DNK,50,4282.0,Advanced Economies,Advanced Economies
DNK,60,5046.0,Advanced Economies,Advanced Economies
DNK,70,7110.0,Advanced Economies,Advanced Economies
DNK,80,6524.0,Advanced Economies,Advanced Economies
DNK,90,6152.0,Advanced Economies,Advanced Economies
DNK,100,6870.0,Advanced Economies,Advanced Economies
DJI,10,776.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
DJI,20,2099.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
