iso3,year,gdp,income,region
AND,2028.0,3.52,Advanced Economies,Advanced Economies
AND,2029.0,3.58,Advanced Economies,Advanced Economies
AND,2030.0,3.63,Advanced Economies,Advanced Economies
AND,Mean 10-Year GDP ($Bn),3.3740000000000006,Advanced Economies,Advanced Economies
AND,GDP Growth Rate (%),0.20198675496688737,Advanced Economies,Advanced Economies
ARE,2021.0,366.9,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2022.0,378.04,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2023.0,389.54,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2024.0,401.7,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2025.0,414.68,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2026.0,428.42,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2027.0,442.62,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2028.0,457.3,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2029.0,472.46,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,2030.0,488.12,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,Mean 10-Year GDP ($Bn),423.97800000000007,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARE,GDP Growth Rate (%),0.33038975197601533,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
ARG,2021.0,418.24,Emerging Market Economies,Latin America and the Caribbean
ARG,2022.0,428.55,Emerging Market Economies,Latin America and the Caribbean
ARG,2023.0,437.12,Emerging Market Economies,Latin America and the Caribbean
ARG,2024.0,444.99,Emerging Market Economies,Latin America and the Caribbean
ARG,2025.0,452.78,Emerging Market Economies,Latin America and the Caribbean
ARG,2026.0,461.09,Emerging Market Economies,Latin America and the Caribbean
ARG,2027.0,469.56,Emerging Market Economies,Latin America and the Caribbean
ARG,2028.0,478.18,Emerging Market Economies,Latin America and the Caribbean
ARG,2029.0,486.96,Emerging Market Economies,Latin America and the Caribbean
ARG,2030.0,495.9,Emerging Market Economies,Latin America and the Caribbean
ARG,Mean 10-Year GDP ($Bn),457.337,Emerging Market Economies,Latin America and the Caribbean
ARG,GDP Growth Rate (%),0.18568286151491958,Emerging Market Economies,Latin America and the Caribbean
ARM,2021.0,13.46,Emerging Market Economies,Caucasus and Central Asia
ARM,2022.0,14.07,Emerging Market Economies,Caucasus and Central Asia
ARM,2023.0,14.69,Emerging Market Economies,Caucasus and Central Asia
ARM,2024.0,15.29,Emerging Market Economies,Caucasus and Central Asia
ARM,2025.0,15.9,Emerging Market Economies,Caucasus and Central Asia
ARM,2026.0,16.54,Emerging Market Economies,Caucasus and Central Asia
ARM,2027.0,17.2,Emerging Market Economies,Caucasus and Central Asia
ARM,2028.0,17.89,Emerging Market Economies,Caucasus and Central Asia
ARM,2029.0,18.6,Emerging Market Economies,Caucasus and Central Asia
ARM,2030.0,19.35,Emerging Market Economies,Caucasus and Central Asia
ARM,Mean 10-Year GDP ($Bn),16.298999999999996,Emerging Market Economies,Caucasus and Central Asia
ARM,GDP Growth Rate (%),0.437592867756315,Emerging Market Economies,Caucasus and Central Asia
ATG,2021.0,1.38,Emerging Market Economies,Latin America and the Caribbean
ATG,2022.0,1.48,Emerging Market Economies,Latin America and the Caribbean
ATG,2023.0,1.56,Emerging Market Economies,Latin America and the Caribbean
ATG,2024.0,1.63,Emerging Market Economies,Latin America and the Caribbean
ATG,2025.0,1.69,Emerging Market Economies,Latin America and the Caribbean
ATG,2026.0,1.73,Emerging Market Economies,Latin America and the Caribbean
ATG,2027.0,1.78,Emerging Market Economies,Latin America and the Caribbean
ATG,2028.0,1.83,Emerging Market Economies,Latin America and the Caribbean
ATG,2029.0,1.88,Emerging Market Economies,Latin America and the Caribbean
ATG,2030.0,1.93,Emerging Market Economies,Latin America and the Caribbean
ATG,Mean 10-Year GDP ($Bn),1.689,Emerging Market Economies,Latin America and the Caribbean
ATG,GDP Growth Rate (%),0.3985507246376812,Emerging Market Economies,Latin America and the Caribbean
AUS,2021.0,1407.55,Advanced Economies,Advanced Economies
AUS,2022.0,1465.79,Advanced Economies,Advanced Economies
AUS,2023.0,1503.4,Advanced Economies,Advanced Economies
AUS,2024.0,1542.61,Advanced Economies,Advanced Economies
AUS,2025.0,1583.38,Advanced Economies,Advanced Economies
AUS,2026.0,1624.52,Advanced Economies,Advanced Economies
AUS,2027.0,1666.72,Advanced Economies,Advanced Economies
AUS,2028.0,1710.03,Advanced Economies,Advanced Economies
AUS,2029.0,1754.45,Advanced Economies,Advanced Economies
AUS,2030.0,1800.03,Advanced Economies,Advanced Economies
AUS,Mean 10-Year GDP ($Bn),1605.8480000000002,Advanced Economies,Advanced Economies
AUS,GDP Growth Rate (%),0.2788391176157153,Advanced Economies,Advanced Economies
AUT,2021.0,449.47,Advanced Economies,Advanced Economies
AUT,2022.0,469.7,Advanced Economies,Advanced Economies
AUT,2023.0,479.56,Advanced Economies,Advanced Economies
AUT,2024.0,489.15,Advanced Economies,Advanced Economies
AUT,2025.0,498.93,Advanced Economies,Advanced Economies
AUT,2026.0,507.92,Advanced Economies,Advanced Economies
AUT,2027.0,517.06,Advanced Economies,Advanced Economies
AUT,2028.0,526.36,Advanced Economies,Advanced Economies
AUT,2029.0,535.84,Advanced Economies,Advanced Economies
AUT,2030.0,545.48,Advanced Economies,Advanced Economies
AUT,Mean 10-Year GDP ($Bn),501.9469999999999,Advanced Economies,Advanced Economies
AUT,GDP Growth Rate (%),0.21360713729503633,Advanced Economies,Advanced Economies
AZE,2021.0,43.87,Emerging Market Economies,Caucasus and Central Asia
AZE,2022.0,44.9,Emerging Market Economies,Caucasus and Central Asia
AZE,2023.0,45.67,Emerging Market Economies,Caucasus and Central Asia
AZE,2024.0,46.46,Emerging Market Economies,Caucasus and Central Asia
AZE,2025.0,47.26,Emerging Market Economies,Caucasus and Central Asia
AZE,2026.0,48.09,Emerging Market Economies,Caucasus and Central Asia
AZE,2027.0,48.93,Emerging Market Economies,Caucasus and Central Asia
AZE,2028.0,49.79,Emerging Market Economies,Caucasus and Central Asia
AZE,2029.0,50.66,Emerging Market Economies,Caucasus and Central Asia
AZE,2030.0,51.55,Emerging Market Economies,Caucasus and Central Asia
AZE,Mean 10-Year GDP ($Bn),47.718,Emerging Market Economies,Caucasus and Central Asia
AZE,GDP Growth Rate (%),0.1750626852062913,Emerging Market Economies,Caucasus and Central Asia
BDI,2021.0,3.09,Low Income Developing Countries,Sub-Sahara Africa
BDI,2022.0,3.22,Low Income Developing Countries,Sub-Sahara Africa
BDI,2023.0,3.37,Low Income Developing Countries,Sub-Sahara Africa
BDI,2024.0,3.54,Low Income Developing Countries,Sub-Sahara Africa
BDI,2025.0,3.72,Low Income Developing Countries,Sub-Sahara Africa
BDI,2026.0,3.9,Low Income Developing Countries,Sub-Sahara Africa
BDI,2027.0,4.09,Low Income Developing Countries,Sub-Sahara Africa
BDI,2028.0,4.29,Low Income Developing Countries,Sub-Sahara Africa
BDI,2029.0,4.49,Low Income Developing Countries,Sub-Sahara Africa
BDI,2030.0,4.71,Low Income Developing Countries,Sub-Sahara Africa
BDI,Mean 10-Year GDP ($Bn),3.841999999999999,Low Income Developing Countries,Sub-Sahara Africa
BDI,GDP Growth Rate (%),0.5242718446601943,Low Income Developing Countries,Sub-Sahara Africa
BEL,2021.0,543.94,Advanced Economies,Advanced Economies
BEL,2022.0,560.84,Advanced Economies,Advanced Economies
BEL,2023.0,570.8,Advanced Economies,Advanced Economies
BEL,2024.0,578.63,Advanced Economies,Advanced Economies
BEL,2025.0,586.13,Advanced Economies,Advanced Economies
BEL,2026.0,594.03,Advanced Economies,Advanced Economies
BEL,2027.0,602.03,Advanced Economies,Advanced Economies
BEL,2028.0,610.14,Advanced Economies,Advanced Economies
BEL,2029.0,618.36,Advanced Economies,Advanced Economies
BEL,2030.0,626.69,Advanced Economies,Advanced Economies
BEL,Mean 10-Year GDP ($Bn),589.159,Advanced Economies,Advanced Economies
BEL,GDP Growth Rate (%),0.1521307497150421,Advanced Economies,Advanced Economies
BEN,2021.0,16.54,Low Income Developing Countries,Sub-Sahara Africa
BEN,2022.0,17.62,Low Income Developing Countries,Sub-Sahara Africa
BEN,2023.0,18.76,Low Income Developing Countries,Sub-Sahara Africa
BEN,2024.0,19.98,Low Income Developing Countries,Sub-Sahara Africa
BEN,2025.0,21.27,Low Income Developing Countries,Sub-Sahara Africa
BEN,2026.0,22.64,Low Income Developing Countries,Sub-Sahara Africa
BEN,2027.0,24.11,Low Income Developing Countries,Sub-Sahara Africa
BEN,2028.0,25.66,Low Income Developing Countries,Sub-Sahara Africa
BEN,2029.0,27.32,Low Income Developing Countries,Sub-Sahara Africa
BEN,2030.0,29.08,Low Income Developing Countries,Sub-Sahara Africa
BEN,Mean 10-Year GDP ($Bn),22.298000000000005,Low Income Developing Countries,Sub-Sahara Africa
BEN,GDP Growth Rate (%),0.7581620314389359,Low Income Developing Countries,Sub-Sahara Africa
BFA,2021.0,18.54,Low Income Developing Countries,Sub-Sahara Africa
BFA,2022.0,19.58,Low Income Developing Countries,Sub-Sahara Africa
BFA,2023.0,20.62,Low Income Developing Countries,Sub-Sahara Africa
BFA,2024.0,21.71,Low Income Developing Countries,Sub-Sahara Africa
BFA,2025.0,22.86,Low Income Developing Countries,Sub-Sahara Africa
BFA,2026.0,24.07,Low Income Developing Countries,Sub-Sahara Africa
BFA,2027.0,25.35,Low Income Developing Countries,Sub-Sahara Africa
BFA,2028.0,26.7,Low Income Developing Countries,Sub-Sahara Africa
BFA,2029.0,28.11,Low Income Developing Countries,Sub-Sahara Africa
BFA,2030.0,29.61,Low Income Developing Countries,Sub-Sahara Africa
BFA,Mean 10-Year GDP ($Bn),23.714999999999996,Low Income Developing Countries,Sub-Sahara Africa
BFA,GDP Growth Rate (%),0.5970873786407768,Low Income Developing Countries,Sub-Sahara Africa
BGD,2021.0,337.91,Low Income Developing Countries,Emerging and Developing Asia
BGD,2022.0,360.03,Low Income Developing Countries,Emerging and Developing Asia
BGD,2023.0,385.95,Low Income Developing Countries,Emerging and Developing Asia
BGD,2024.0,413.74,Low Income Developing Countries,Emerging and Developing Asia
BGD,2025.0,443.53,Low Income Developing Countries,Emerging and Developing Asia
BGD,2026.0,475.02,Low Income Developing Countries,Emerging and Developing Asia
BGD,2027.0,508.74,Low Income Developing Countries,Emerging and Developing Asia
BGD,2028.0,544.86,Low Income Developing Countries,Emerging and Developing Asia
BGD,2029.0,583.55,Low Income Developing Countries,Emerging and Developing Asia
BGD,2030.0,624.98,Low Income Developing Countries,Emerging and Developing Asia
BGD,Mean 10-Year GDP ($Bn),467.8309999999999,Low Income Developing Countries,Emerging and Developing Asia
BGD,GDP Growth Rate (%),0.8495457370305702,Low Income Developing Countries,Emerging and Developing Asia
BGR,2021.0,72.35,Emerging Market Economies,Emerging and Developing Europe
BGR,2022.0,75.53,Emerging Market Economies,Emerging and Developing Europe
BGR,2023.0,78.56,Emerging Market Economies,Emerging and Developing Europe
BGR,2024.0,81.4,Emerging Market Economies,Emerging and Developing Europe
BGR,2025.0,83.96,Emerging Market Economies,Emerging and Developing Europe
BGR,2026.0,86.34,Emerging Market Economies,Emerging and Developing Europe
BGR,2027.0,88.79,Emerging Market Economies,Emerging and Developing Europe
BGR,2028.0,91.31,Emerging Market Economies,Emerging and Developing Europe
BGR,2029.0,93.91,Emerging Market Economies,Emerging and Developing Europe
BGR,2030.0,96.57,Emerging Market Economies,Emerging and Developing Europe
BGR,Mean 10-Year GDP ($Bn),84.872,Emerging Market Economies,Emerging and Developing Europe
BGR,GDP Growth Rate (%),0.3347615756738079,Emerging Market Economies,Emerging and Developing Europe
BHR,2021.0,35.58,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2022.0,36.68,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2023.0,37.81,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2024.0,38.97,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2025.0,40.18,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2026.0,41.42,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2027.0,42.71,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2028.0,44.03,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2029.0,45.4,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,2030.0,46.8,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,Mean 10-Year GDP ($Bn),40.958,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,GDP Growth Rate (%),0.3153456998313659,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHS,2021.0,10.11,Emerging Market Economies,Latin America and the Caribbean
BHS,2022.0,10.91,Emerging Market Economies,Latin America and the Caribbean
BHS,2023.0,11.35,Emerging Market Economies,Latin America and the Caribbean
BHS,2024.0,11.74,Emerging Market Economies,Latin America and the Caribbean
BHS,2025.0,11.95,Emerging Market Economies,Latin America and the Caribbean
BHS,2026.0,12.13,Emerging Market Economies,Latin America and the Caribbean
BHS,2027.0,12.31,Emerging Market Economies,Latin America and the Caribbean
BHS,2028.0,12.5,Emerging Market Economies,Latin America and the Caribbean
BHS,2029.0,12.68,Emerging Market Economies,Latin America and the Caribbean
BHS,2030.0,12.87,Emerging Market Economies,Latin America and the Caribbean
BHS,Mean 10-Year GDP ($Bn),11.855000000000002,Emerging Market Economies,Latin America and the Caribbean
BHS,GDP Growth Rate (%),0.27299703264094954,Emerging Market Economies,Latin America and the Caribbean
BIH,2021.0,20.34,Emerging Market Economies,Emerging and Developing Europe
BIH,2022.0,21.0,Emerging Market Economies,Emerging and Developing Europe
BIH,2023.0,21.63,Emerging Market Economies,Emerging and Developing Europe
BIH,2024.0,22.28,Emerging Market Economies,Emerging and Developing Europe
BIH,2025.0,22.95,Emerging Market Economies,Emerging and Developing Europe
BIH,2026.0,23.64,Emerging Market Economies,Emerging and Developing Europe
BIH,2027.0,24.35,Emerging Market Economies,Emerging and Developing Europe
BIH,2028.0,25.08,Emerging Market Economies,Emerging and Developing Europe
BIH,2029.0,25.83,Emerging Market Economies,Emerging and Developing Europe
BIH,2030.0,26.61,Emerging Market Economies,Emerging and Developing Europe
BIH,Mean 10-Year GDP ($Bn),23.370999999999995,Emerging Market Economies,Emerging and Developing Europe
BIH,GDP Growth Rate (%),0.30825958702064893,Emerging Market Economies,Emerging and Developing Europe
BLR,2021.0,61.45,Emerging Market Economies,Emerging and Developing Europe
BLR,2022.0,61.76,Emerging Market Economies,Emerging and Developing Europe
BLR,2023.0,62.4,Emerging Market Economies,Emerging and Developing Europe
BLR,2024.0,63.14,Emerging Market Economies,Emerging and Developing Europe
BLR,2025.0,63.95,Emerging Market Economies,Emerging and Developing Europe
BLR,2026.0,64.79,Emerging Market Economies,Emerging and Developing Europe
BLR,2027.0,65.64,Emerging Market Economies,Emerging and Developing Europe
BLR,2028.0,66.51,Emerging Market Economies,Emerging and Developing Europe
BLR,2029.0,67.39,Emerging Market Economies,Emerging and Developing Europe
BLR,2030.0,68.28,Emerging Market Economies,Emerging and Developing Europe
BLR,Mean 10-Year GDP ($Bn),64.531,Emerging Market Economies,Emerging and Developing Europe
BLR,GDP Growth Rate (%),0.11114727420667206,Emerging Market Economies,Emerging and Developing Europe
BLZ,2021.0,1.85,Emerging Market Economies,Latin America and the Caribbean
BLZ,2022.0,1.95,Emerging Market Economies,Latin America and the Caribbean
BLZ,2023.0,2.01,Emerging Market Economies,Latin America and the Caribbean
BLZ,2024.0,2.05,Emerging Market Economies,Latin America and the Caribbean
BLZ,2025.0,2.09,Emerging Market Economies,Latin America and the Caribbean
BLZ,2026.0,2.13,Emerging Market Economies,Latin America and the Caribbean
BLZ,2027.0,2.17,Emerging Market Economies,Latin America and the Caribbean
BLZ,2028.0,2.21,Emerging Market Economies,Latin America and the Caribbean
BLZ,2029.0,2.26,Emerging Market Economies,Latin America and the Caribbean
BLZ,2030.0,2.3,Emerging Market Economies,Latin America and the Caribbean
BLZ,Mean 10-Year GDP ($Bn),2.102,Emerging Market Economies,Latin America and the Caribbean
BLZ,GDP Growth Rate (%),0.2432432432432431,Emerging Market Economies,Latin America and the Caribbean
BOL,2021.0,38.66,Emerging Market Economies,Latin America and the Caribbean
BOL,2022.0,40.21,Emerging Market Economies,Latin America and the Caribbean
BOL,2023.0,41.7,Emerging Market Economies,Latin America and the Caribbean
BOL,2024.0,43.2,Emerging Market Economies,Latin America and the Caribbean
BOL,2025.0,44.71,Emerging Market Economies,Latin America and the Caribbean
BOL,2026.0,46.23,Emerging Market Economies,Latin America and the Caribbean
BOL,2027.0,47.8,Emerging Market Economies,Latin America and the Caribbean
BOL,2028.0,49.43,Emerging Market Economies,Latin America and the Caribbean
BOL,2029.0,51.11,Emerging Market Economies,Latin America and the Caribbean
BOL,2030.0,52.85,Emerging Market Economies,Latin America and the Caribbean
BOL,Mean 10-Year GDP ($Bn),45.59000000000001,Emerging Market Economies,Latin America and the Caribbean
BOL,GDP Growth Rate (%),0.3670460424211072,Emerging Market Economies,Latin America and the Caribbean
BRA,2021.0,1520.26,Emerging Market Economies,Latin America and the Caribbean
BRA,2022.0,1543.4,Emerging Market Economies,Latin America and the Caribbean
BRA,2023.0,1574.49,Emerging Market Economies,Latin America and the Caribbean
BRA,2024.0,1607.58,Emerging Market Economies,Latin America and the Caribbean
BRA,2025.0,1641.62,Emerging Market Economies,Latin America and the Caribbean
BRA,2026.0,1676.57,Emerging Market Economies,Latin America and the Caribbean
BRA,2027.0,1712.26,Emerging Market Economies,Latin America and the Caribbean
BRA,2028.0,1748.71,Emerging Market Economies,Latin America and the Caribbean
BRA,2029.0,1785.94,Emerging Market Economies,Latin America and the Caribbean
BRA,2030.0,1823.97,Emerging Market Economies,Latin America and the Caribbean
BRA,Mean 10-Year GDP ($Bn),1663.48,Emerging Market Economies,Latin America and the Caribbean
BRA,GDP Growth Rate (%),0.19977503848026,Emerging Market Economies,Latin America and the Caribbean
BRB,2021.0,4.56,Emerging Market Economies,Latin America and the Caribbean
BRB,2022.0,4.95,Emerging Market Economies,Latin America and the Caribbean
BRB,2023.0,5.19,Emerging Market Economies,Latin America and the Caribbean
BRB,2024.0,5.33,Emerging Market Economies,Latin America and the Caribbean
BRB,2025.0,5.43,Emerging Market Economies,Latin America and the Caribbean
BRB,2026.0,5.53,Emerging Market Economies,Latin America and the Caribbean
BRB,2027.0,5.63,Emerging Market Economies,Latin America and the Caribbean
BRB,2028.0,5.74,Emerging Market Economies,Latin America and the Caribbean
BRB,2029.0,5.84,Emerging Market Economies,Latin America and the Caribbean
BRB,2030.0,5.95,Emerging Market Economies,Latin America and the Caribbean
BRB,Mean 10-Year GDP ($Bn),5.415000000000001,Emerging Market Economies,Latin America and the Caribbean
BRB,GDP Growth Rate (%),0.30482456140350894,Emerging Market Economies,Latin America and the Caribbean
BRN,2021.0,12.24,Emerging Market Economies,Emerging and Developing Asia
BRN,2022.0,12.56,Emerging Market Economies,Emerging and Developing Asia
BRN,2023.0,12.86,Emerging Market Economies,Emerging and Developing Asia
BRN,2024.0,13.14,Emerging Market Economies,Emerging and Developing Asia
BRN,2025.0,13.41,Emerging Market Economies,Emerging and Developing Asia
BRN,2026.0,13.68,Emerging Market Economies,Emerging and Developing Asia
BRN,2027.0,13.97,Emerging Market Economies,Emerging and Developing Asia
BRN,2028.0,14.26,Emerging Market Economies,Emerging and Developing Asia
BRN,2029.0,14.55,Emerging Market Economies,Emerging and Developing Asia
BRN,2030.0,14.85,Emerging Market Economies,Emerging and Developing Asia
BRN,Mean 10-Year GDP ($Bn),13.551999999999998,Emerging Market Economies,Emerging and Developing Asia
BRN,GDP Growth Rate (%),0.213235294117647,Emerging Market Economies,Emerging and Developing Asia
BTN,2021.0,2.46,Low Income Developing Countries,Emerging and Developing Asia
BTN,2022.0,2.56,Low Income Developing Countries,Emerging and Developing Asia
BTN,2023.0,2.7,Low Income Developing Countries,Emerging and Developing Asia
BTN,2024.0,2.91,Low Income Developing Countries,Emerging and Developing Asia
BTN,2025.0,3.08,Low Income Developing Countries,Emerging and Developing Asia
BTN,2026.0,3.25,Low Income Developing Countries,Emerging and Developing Asia
BTN,2027.0,3.44,Low Income Developing Countries,Emerging and Developing Asia
BTN,2028.0,3.64,Low Income Developing Countries,Emerging and Developing Asia
BTN,2029.0,3.85,Low Income Developing Countries,Emerging and Developing Asia
BTN,2030.0,4.07,Low Income Developing Countries,Emerging and Developing Asia
BTN,Mean 10-Year GDP ($Bn),3.1960000000000006,Low Income Developing Countries,Emerging and Developing Asia
BTN,GDP Growth Rate (%),0.6544715447154473,Low Income Developing Countries,Emerging and Developing Asia
BWA,2021.0,16.44,Emerging Market Economies,Sub-Sahara Africa
BWA,2022.0,17.21,Emerging Market Economies,Sub-Sahara Africa
BWA,2023.0,17.98,Emerging Market Economies,Sub-Sahara Africa
BWA,2024.0,18.69,Emerging Market Economies,Sub-Sahara Africa
BWA,2025.0,19.43,Emerging Market Economies,Sub-Sahara Africa
BWA,2026.0,20.21,Emerging Market Economies,Sub-Sahara Africa
BWA,2027.0,21.01,Emerging Market Economies,Sub-Sahara Africa
BWA,2028.0,21.85,Emerging Market Economies,Sub-Sahara Africa
BWA,2029.0,22.73,Emerging Market Economies,Sub-Sahara Africa
BWA,2030.0,23.63,Emerging Market Economies,Sub-Sahara Africa
BWA,Mean 10-Year GDP ($Bn),19.917999999999996,Emerging Market Economies,Sub-Sahara Africa
BWA,GDP Growth Rate (%),0.43734793187347915,Emerging Market Economies,Sub-Sahara Africa
CAF,2021.0,2.36,Low Income Developing Countries,Sub-Sahara Africa
CAF,2022.0,2.46,Low Income Developing Countries,Sub-Sahara Africa
CAF,2023.0,2.58,Low Income Developing Countries,Sub-Sahara Africa
CAF,2024.0,2.71,Low Income Developing Countries,Sub-Sahara Africa
CAF,2025.0,2.84,Low Income Developing Countries,Sub-Sahara Africa
CAF,2026.0,2.98,Low Income Developing Countries,Sub-Sahara Africa
CAF,2027.0,3.13,Low Income Developing Countries,Sub-Sahara Africa
CAF,2028.0,3.28,Low Income Developing Countries,Sub-Sahara Africa
CAF,2029.0,3.44,Low Income Developing Countries,Sub-Sahara Africa
CAF,2030.0,3.61,Low Income Developing Countries,Sub-Sahara Africa
CAF,Mean 10-Year GDP ($Bn),2.939,Low Income Developing Countries,Sub-Sahara Africa
CAF,GDP Growth Rate (%),0.5296610169491526,Low Income Developing Countries,Sub-Sahara Africa
CAN,2021.0,1737.55,Advanced Economies,Advanced Economies
CAN,2022.0,1822.5,Advanced Economies,Advanced Economies
CAN,2023.0,1870.51,Advanced Economies,Advanced Economies
CAN,2024.0,1899.37,Advanced Economies,Advanced Economies
CAN,2025.0,1926.45,Advanced Economies,Advanced Economies
CAN,2026.0,1956.31,Advanced Economies,Advanced Economies
CAN,2027.0,1986.64,Advanced Economies,Advanced Economies
CAN,2028.0,2017.43,Advanced Economies,Advanced Economies
