"","income_group","region","decile","value"
"106","Low Income Developing Countries","Emerging and Developing Asia","1",15.079581
"107","Advanced Economies","Advanced Economies","1",5.506822
"108","Advanced Economies","Advanced Economies","1",2.154125
"109","Low Income Developing Countries","Latin America and the Caribbean","1",1.644844
"110","Low Income Developing Countries","Sub-Sahara Africa","1",3.502868
"111","Low Income Developing Countries","Sub-Sahara Africa","1",35.003533
"112","Advanced Economies","Advanced Economies","1",2.590686
"113","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",1.016836
"114","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",50.841164
"115","Emerging Market Economies","Latin America and the Caribbean","1",2.407736
"116","Low Income Developing Countries","Emerging and Developing Asia","1",1.271258
"117","Emerging Market Economies","Latin America and the Caribbean","1",3.452697
"118","Emerging Market Economies","Latin America and the Caribbean","1",19.143013
"119","Emerging Market Economies","Emerging and Developing Asia","1",39.159602
"120","Emerging Market Economies","Emerging and Developing Europe","1",10.067201
"121","Advanced Economies","Advanced Economies","1",4.586925
"122","Advanced Economies","Advanced Economies","1",1.080606
"123","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",3.031343
"124","Emerging Market Economies","Emerging and Developing Europe","1",24.642325
"125","Emerging Market Economies","Emerging and Developing Europe","1",43.949353
"126","Low Income Developing Countries","Sub-Sahara Africa","1",1.681525
"127","Emerging Market Economies","Emerging and Developing Asia","1",0.066172
"128","Advanced Economies","Advanced Economies","1",0.011899
"129","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",11.111577
"130","Low Income Developing Countries","Sub-Sahara Africa","1",4.443048
"131","Emerging Market Economies","Emerging and Developing Europe","1",2.429958
"132","Emerging Market Economies","Sub-Sahara Africa","1",0.01198
"133","Low Income Developing Countries","Sub-Sahara Africa","1",1.404292
"134","Advanced Economies","Advanced Economies","1",1.066216
"135","Advanced Economies","Advanced Economies","1",0.57829
"136","Advanced Economies","Advanced Economies","1",0.794565
"137","Low Income Developing Countries","Emerging and Developing Asia","1",0.103673
"138","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",3.792583
"139","Emerging Market Economies","Sub-Sahara Africa","1",23.613886
"140","Low Income Developing Countries","Sub-Sahara Africa","1",4.74053
"141","Advanced Economies","Advanced Economies","1",18.807537
"142","Emerging Market Economies","Emerging and Developing Asia","1",5.239195
"143","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",7.744791
"144","Emerging Market Economies","Latin America and the Caribbean","1",0.138935
"145","Advanced Economies","Advanced Economies","1",3.529149
"146","Advanced Economies","Advanced Economies","1",2.647353
"147","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",8.615985
"148","Advanced Economies","Advanced Economies","1",3.384007
"149","Low Income Developing Countries","Caucasus and Central Asia","1",2.286628
"150","Low Income Developing Countries","Sub-Sahara Africa","1",12.016261
"151","Emerging Market Economies","Emerging and Developing Asia","1",26.325003
"152","Low Income Developing Countries","Emerging and Developing Asia","1",0.536045
"153","Low Income Developing Countries","Sub-Sahara Africa","1",2.709043
"154","Emerging Market Economies","Emerging and Developing Asia","1",0.074923
"155","Emerging Market Economies","Latin America and the Caribbean","1",0.080142
"156","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",1.681801
"157","Emerging Market Economies","Emerging and Developing Europe","1",42.593681
"158","Emerging Market Economies","Caucasus and Central Asia","1",1.15279
"159","Low Income Developing Countries","Sub-Sahara Africa","1",5.945016
"160","Emerging Market Economies","Emerging and Developing Europe","1",15.240178
"161","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.117354
"162","Advanced Economies","Advanced Economies","1",13.164302
"163","Advanced Economies","Advanced Economies","1",197.220867
"164","Emerging Market Economies","Latin America and the Caribbean","1",2.4775
"165","Low Income Developing Countries","Caucasus and Central Asia","1",6.078843
"166","Emerging Market Economies","Emerging and Developing Asia","1",0.096691
"167","Emerging Market Economies","Latin America and the Caribbean","1",9.963112
"168","Low Income Developing Countries","Emerging and Developing Asia","1",24.260853
"169","Low Income Developing Countries","Sub-Sahara Africa","1",4.561851
"170","Low Income Developing Countries","Sub-Sahara Africa","1",4.13739
"171","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",2.665061
"172","Emerging Market Economies","Emerging and Developing Europe","2",0.359589
"173","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",5.64439
"174","Emerging Market Economies","Sub-Sahara Africa","2",3.496433
"175","Emerging Market Economies","Latin America and the Caribbean","2",6.563459
"176","Emerging Market Economies","Caucasus and Central Asia","2",0.303801
"177","Advanced Economies","Advanced Economies","2",6.753033
"178","Advanced Economies","Advanced Economies","2",0.928249
"179","Emerging Market Economies","Caucasus and Central Asia","2",1.082087
"180","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"181","Low Income Developing Countries","Emerging and Developing Asia","2",26.658099
"182","Emerging Market Economies","Latin America and the Caribbean","2",0.051535
"183","Emerging Market Economies","Emerging and Developing Europe","2",1.29864
"184","Advanced Economies","Advanced Economies","2",1.579585
"185","Emerging Market Economies","Latin America and the Caribbean","2",0
"186","Low Income Developing Countries","Sub-Sahara Africa","2",1.320379
"187","Low Income Developing Countries","Emerging and Developing Asia","2",0.102254
"188","Emerging Market Economies","Latin America and the Caribbean","2",0.846383
"189","Emerging Market Economies","Emerging and Developing Europe","2",0.471153
"190","Emerging Market Economies","Sub-Sahara Africa","2",0.381412
"191","Emerging Market Economies","Latin America and the Caribbean","2",28.130188
"192","Emerging Market Economies","Emerging and Developing Asia","2",0.092435
"193","Emerging Market Economies","Emerging and Developing Europe","2",0.86076
"194","Low Income Developing Countries","Sub-Sahara Africa","2",1.463769
"195","Low Income Developing Countries","Sub-Sahara Africa","2",1.983476
"196","Emerging Market Economies","Sub-Sahara Africa","2",0.061119
"197","Low Income Developing Countries","Emerging and Developing Asia","2",3.816765
"198","Low Income Developing Countries","Sub-Sahara Africa","2",3.44023
"199","Advanced Economies","Advanced Economies","2",2.885372
"200","Low Income Developing Countries","Sub-Sahara Africa","2",1.683305
"201","Emerging Market Economies","Latin America and the Caribbean","2",1.473201
"202","Emerging Market Economies","Emerging and Developing Asia","2",203.316304
"203","Emerging Market Economies","Latin America and the Caribbean","2",5.977664
"204","Low Income Developing Countries","Sub-Sahara Africa","2",10.280901
"205","Low Income Developing Countries","Sub-Sahara Africa","2",0.378919
"206","Emerging Market Economies","Latin America and the Caribbean","2",0.66208
"207","Low Income Developing Countries","Sub-Sahara Africa","2",3.455766
"208","Emerging Market Economies","Emerging and Developing Europe","2",0.499927
"209","Advanced Economies","Advanced Economies","2",0
"210","Advanced Economies","Advanced Economies","2",0.619241
"211","Advanced Economies","Advanced Economies","2",0.678715
"212","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",0.136118
"213","Emerging Market Economies","Latin America and the Caribbean","2",0.001282
"214","Emerging Market Economies","Latin America and the Caribbean","2",1.43156
"215","Emerging Market Economies","Latin America and the Caribbean","2",2.774132
"216","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",14.287589
"217","Emerging Market Economies","Latin America and the Caribbean","2",0.935874
"218","Advanced Economies","Advanced Economies","2",0.31999
"219","Emerging Market Economies","Sub-Sahara Africa","2",0.112241
"220","Low Income Developing Countries","Sub-Sahara Africa","2",14.4201
"221","Emerging Market Economies","Emerging and Developing Asia","2",0.041243
"222","Advanced Economies","Advanced Economies","2",0.578188
"223","Advanced Economies","Advanced Economies","2",10.510117
"224","Emerging Market Economies","Sub-Sahara Africa","2",0.411494
"225","Low Income Developing Countries","Sub-Sahara Africa","2",0.40015
"226","Emerging Market Economies","Caucasus and Central Asia","2",0.405582
"227","Advanced Economies","Advanced Economies","2",5.950413
"228","Low Income Developing Countries","Sub-Sahara Africa","2",3.473733
"229","Advanced Economies","Advanced Economies","2",0.18887
"230","Emerging Market Economies","Latin America and the Caribbean","2",0.013254
"231","Emerging Market Economies","Latin America and the Caribbean","2",1.888537
"232","Low Income Developing Countries","Sub-Sahara Africa","2",0.673352
"233","Emerging Market Economies","Latin America and the Caribbean","2",0.101571
"234","Low Income Developing Countries","Latin America and the Caribbean","2",2.109019
"235","Low Income Developing Countries","Latin America and the Caribbean","2",0.867207
"236","Advanced Economies","Advanced Economies","2",0.820622
"237","Emerging Market Economies","Emerging and Developing Europe","2",1.007225
"238","Advanced Economies","Advanced Economies","2",0.01421
"239","Emerging Market Economies","Emerging and Developing Asia","2",208.982631
"240","Emerging Market Economies","Emerging and Developing Asia","2",52.470064
"241","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",14.891883
"242","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",8.789177
"243","Advanced Economies","Advanced Economies","2",0.430826
"244","Advanced Economies","Advanced Economies","2",1.200958
"245","Advanced Economies","Advanced Economies","2",9.961675
"246","Emerging Market Economies","Latin America and the Caribbean","2",0.541268
"247","Advanced Economies","Advanced Economies","2",24.613287
"248","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1.557821
"249","Emerging Market Economies","Caucasus and Central Asia","2",3.754501
"250","Low Income Developing Countries","Sub-Sahara Africa","2",5.272307
"251","Advanced Economies","Advanced Economies","2",9.875319
"252","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"253","Low Income Developing Countries","Caucasus and Central Asia","2",0.716258
"254","Low Income Developing Countries","Emerging and Developing Asia","2",1.016041
"255","Advanced Economies","Advanced Economies","2",0.205505
"256","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",2.196608
"257","Low Income Developing Countries","Sub-Sahara Africa","2",0.451695
"258","Low Income Developing Countries","Sub-Sahara Africa","2",0.716722
"259","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1.583475
"260","Advanced Economies","Advanced Economies","2",0.413026
"261","Advanced Economies","Advanced Economies","2",0.044873
"262","Low Income Developing Countries","Sub-Sahara Africa","2",3.236407
"263","Low Income Developing Countries","Sub-Sahara Africa","2",1.87321
"264","Emerging Market Economies","Emerging and Developing Asia","2",5.807545
"265","Low Income Developing Countries","Sub-Sahara Africa","2",2.630212
"266","Advanced Economies","Advanced Economies","2",0.060687
"267","Emerging Market Economies","Sub-Sahara Africa","2",0.145994
"268","Emerging Market Economies","Latin America and the Caribbean","2",18.653074
"269","Low Income Developing Countries","Emerging and Developing Europe","2",0.634258
"270","Emerging Market Economies","Emerging and Developing Asia","2",0.163257
"271","Emerging Market Economies","Emerging and Developing Europe","2",0.232664
"272","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",4.773288
"273","Low Income Developing Countries","Sub-Sahara Africa","2",4.90899
"274","Low Income Developing Countries","Emerging and Developing Asia","2",5.657694
"275","Emerging Market Economies","Sub-Sahara Africa","2",0.350261
"276","Low Income Developing Countries","Emerging and Developing Asia","2",4.809998
"277","Advanced Economies","Advanced Economies","2",2.544695
"278","Advanced Economies","Advanced Economies","2",0.662064
"279","Low Income Developing Countries","Latin America and the Caribbean","2",0.807832
"280","Low Income Developing Countries","Sub-Sahara Africa","2",2.827173
"281","Low Income Developing Countries","Sub-Sahara Africa","2",24.208138
"282","Advanced Economies","Advanced Economies","2",0.754953
"283","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.547159
"284","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",42.512844
"285","Emerging Market Economies","Latin America and the Caribbean","2",0.43493
"286","Low Income Developing Countries","Emerging and Developing Asia","2",1.249152
"287","Emerging Market Economies","Latin America and the Caribbean","2",0.786643
"288","Emerging Market Economies","Latin America and the Caribbean","2",3.733444
"289","Emerging Market Economies","Emerging and Developing Asia","2",13.95943
"290","Emerging Market Economies","Emerging and Developing Europe","2",3.697788
"291","Advanced Economies","Advanced Economies","2",1.905177
"292","Advanced Economies","Advanced Economies","2",0.453308
"293","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.213058
"294","Emerging Market Economies","Emerging and Developing Europe","2",1.854213
"295","Emerging Market Economies","Emerging and Developing Europe","2",28.483619
"296","Low Income Developing Countries","Sub-Sahara Africa","2",1.38184
"297","Emerging Market Economies","Emerging and Developing Asia","2",0.033755
"298","Advanced Economies","Advanced Economies","2",0.007208
"299","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.495947
"300","Low Income Developing Countries","Sub-Sahara Africa","2",2.857732
"301","Emerging Market Economies","Emerging and Developing Europe","2",1.213306
"302","Emerging Market Economies","Sub-Sahara Africa","2",0.005488
"303","Low Income Developing Countries","Sub-Sahara Africa","2",0.733526
"304","Advanced Economies","Advanced Economies","2",0
"305","Advanced Economies","Advanced Economies","2",0.845827
"306","Advanced Economies","Advanced Economies","2",0.255582
"307","Low Income Developing Countries","Emerging and Developing Asia","2",0.080178
"308","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",1.406361
"309","Emerging Market Economies","Sub-Sahara Africa","2",4.082431
"310","Low Income Developing Countries","Sub-Sahara Africa","2",3.262461
"311","Advanced Economies","Advanced Economies","2",7.867898
"312","Emerging Market Economies","Emerging and Developing Asia","2",2.790252
"313","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",4.348196
"314","Emerging Market Economies","Latin America and the Caribbean","2",0.1242
"315","Advanced Economies","Advanced Economies","2",1.819323
"316","Advanced Economies","Advanced Economies","2",1.467631
"317","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",2.276414
"318","Advanced Economies","Advanced Economies","2",3.180401
"319","Low Income Developing Countries","Caucasus and Central Asia","2",1.604054
"320","Low Income Developing Countries","Sub-Sahara Africa","2",5.660088
"321","Emerging Market Economies","Emerging and Developing Asia","2",9.523969
"322","Low Income Developing Countries","Emerging and Developing Asia","2",0.201048
"323","Low Income Developing Countries","Sub-Sahara Africa","2",1.023607
"324","Emerging Market Economies","Emerging and Developing Asia","2",0
"325","Emerging Market Economies","Latin America and the Caribbean","2",0.025416
"326","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1.834211
"327","Emerging Market Economies","Emerging and Developing Europe","2",14.316896
"328","Emerging Market Economies","Caucasus and Central Asia","2",0
"329","Low Income Developing Countries","Sub-Sahara Africa","2",5.061723
"330","Emerging Market Economies","Emerging and Developing Europe","2",5.638855
"331","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.875947
"332","Advanced Economies","Advanced Economies","2",7.618145
"333","Advanced Economies","Advanced Economies","2",59.925378
"334","Emerging Market Economies","Latin America and the Caribbean","2",0.487774
"335","Low Income Developing Countries","Caucasus and Central Asia","2",4.419688
"336","Emerging Market Economies","Emerging and Developing Asia","2",0.031793
"337","Emerging Market Economies","Latin America and the Caribbean","2",6.641376
"338","Low Income Developing Countries","Emerging and Developing Asia","2",12.068615
"339","Low Income Developing Countries","Sub-Sahara Africa","2",3.426599
"340","Low Income Developing Countries","Sub-Sahara Africa","2",1.587498
"341","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",2.915517
"342","Emerging Market Economies","Emerging and Developing Europe","3",0.120974
"343","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4.18052
"344","Emerging Market Economies","Sub-Sahara Africa","3",2.735637
"345","Emerging Market Economies","Latin America and the Caribbean","3",3.59359
"346","Emerging Market Economies","Caucasus and Central Asia","3",0.259765
"347","Advanced Economies","Advanced Economies","3",5.162098
"348","Advanced Economies","Advanced Economies","3",0.729246
"349","Emerging Market Economies","Caucasus and Central Asia","3",1.186514
"350","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.311962
"351","Low Income Developing Countries","Emerging and Developing Asia","3",21.248529
"352","Emerging Market Economies","Latin America and the Caribbean","3",0.027121
"353","Emerging Market Economies","Emerging and Developing Europe","3",0.617936
"354","Advanced Economies","Advanced Economies","3",1.168656
"355","Emerging Market Economies","Latin America and the Caribbean","3",0.052926
"356","Low Income Developing Countries","Sub-Sahara Africa","3",0.933318
"357","Low Income Developing Countries","Emerging and Developing Asia","3",0.106184
"358","Emerging Market Economies","Latin America and the Caribbean","3",0.842794
"359","Emerging Market Economies","Emerging and Developing Europe","3",0.475781
"360","Emerging Market Economies","Sub-Sahara Africa","3",0.394651
"361","Emerging Market Economies","Latin America and the Caribbean","3",15.783448
"362","Emerging Market Economies","Emerging and Developing Asia","3",0.069406
"363","Emerging Market Economies","Emerging and Developing Europe","3",0.677118
"364","Low Income Developing Countries","Sub-Sahara Africa","3",2.446414
"365","Low Income Developing Countries","Sub-Sahara Africa","3",1.107856
"366","Emerging Market Economies","Sub-Sahara Africa","3",0.118477
"367","Low Income Developing Countries","Emerging and Developing Asia","3",1.722529
"368","Low Income Developing Countries","Sub-Sahara Africa","3",2.805131
"369","Advanced Economies","Advanced Economies","3",2.444346
"370","Low Income Developing Countries","Sub-Sahara Africa","3",2.010848
"371","Emerging Market Economies","Latin America and the Caribbean","3",2.294881
"372","Emerging Market Economies","Emerging and Developing Asia","3",186.88808
"373","Emerging Market Economies","Latin America and the Caribbean","3",4.498631
"374","Low Income Developing Countries","Sub-Sahara Africa","3",3.411547
"375","Low Income Developing Countries","Sub-Sahara Africa","3",1.05275
"376","Emerging Market Economies","Latin America and the Caribbean","3",0.817922
"377","Low Income Developing Countries","Sub-Sahara Africa","3",3.498665
"378","Emerging Market Economies","Emerging and Developing Europe","3",0.310417
"379","Advanced Economies","Advanced Economies","3",0.271283
"380","Advanced Economies","Advanced Economies","3",1.837075
"381","Advanced Economies","Advanced Economies","3",0.62149
"382","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",0.058322
"383","Emerging Market Economies","Latin America and the Caribbean","3",0.010841
"384","Emerging Market Economies","Latin America and the Caribbean","3",1.382244
"385","Emerging Market Economies","Latin America and the Caribbean","3",1.104355
"386","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",10.043617
"387","Emerging Market Economies","Latin America and the Caribbean","3",1.067458
"388","Advanced Economies","Advanced Economies","3",0.092789
"389","Emerging Market Economies","Sub-Sahara Africa","3",0.139798
"390","Low Income Developing Countries","Sub-Sahara Africa","3",20.35694
"391","Emerging Market Economies","Emerging and Developing Asia","3",0.077192
"392","Advanced Economies","Advanced Economies","3",0.711693
"393","Advanced Economies","Advanced Economies","3",10.611255
"394","Emerging Market Economies","Sub-Sahara Africa","3",0.162446
"395","Low Income Developing Countries","Sub-Sahara Africa","3",0.120696
"396","Emerging Market Economies","Caucasus and Central Asia","3",0.323092
"397","Advanced Economies","Advanced Economies","3",10.177279
"398","Low Income Developing Countries","Sub-Sahara Africa","3",2.339165
"399","Advanced Economies","Advanced Economies","3",0.623264
"400","Emerging Market Economies","Latin America and the Caribbean","3",0
"401","Emerging Market Economies","Latin America and the Caribbean","3",1.944609
"402","Low Income Developing Countries","Sub-Sahara Africa","3",0.954065
"403","Emerging Market Economies","Latin America and the Caribbean","3",0.090808
"404","Low Income Developing Countries","Latin America and the Caribbean","3",1.68431
"405","Low Income Developing Countries","Latin America and the Caribbean","3",0.611789
"406","Advanced Economies","Advanced Economies","3",0.768629
"407","Emerging Market Economies","Emerging and Developing Europe","3",0.913471
"408","Advanced Economies","Advanced Economies","3",0.013748
"409","Emerging Market Economies","Emerging and Developing Asia","3",183.278009
"410","Emerging Market Economies","Emerging and Developing Asia","3",54.156047
"411","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",8.869501
"412","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4.385965
"413","Advanced Economies","Advanced Economies","3",0.991467
"414","Advanced Economies","Advanced Economies","3",0
"415","Advanced Economies","Advanced Economies","3",8.708972
"416","Emerging Market Economies","Latin America and the Caribbean","3",0.184186
"417","Advanced Economies","Advanced Economies","3",16.238399
"418","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.965795
"419","Emerging Market Economies","Caucasus and Central Asia","3",1.216446
"420","Low Income Developing Countries","Sub-Sahara Africa","3",5.422396
"421","Advanced Economies","Advanced Economies","3",7.944224
"422","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.351844
"423","Low Income Developing Countries","Caucasus and Central Asia","3",0.506947
"424","Low Income Developing Countries","Emerging and Developing Asia","3",1.042685
"425","Advanced Economies","Advanced Economies","3",0.177261
"426","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.989759
"427","Low Income Developing Countries","Sub-Sahara Africa","3",0.274488
"428","Low Income Developing Countries","Sub-Sahara Africa","3",0.395357
"429","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.632214
"430","Advanced Economies","Advanced Economies","3",0.235736
"431","Advanced Economies","Advanced Economies","3",0.022671
"432","Low Income Developing Countries","Sub-Sahara Africa","3",2.450665
