"","ISO3","income_group","region","decile","pop"
"47","SLV","Emerging Market Economies","Latin America and the Caribbean","1",2404057
"48","EST","Advanced Economies","Advanced Economies","1",722164
"49","SWZ","Emerging Market Economies","Sub-Sahara Africa","1",195040
"50","ETH","Low Income Developing Countries","Sub-Sahara Africa","1",14878015
"51","FJI","Emerging Market Economies","Emerging and Developing Asia","1",547700
"52","FIN","Advanced Economies","Advanced Economies","1",1714496
"53","FRA","Advanced Economies","Advanced Economies","1",17822290
"54","GAB","Emerging Market Economies","Sub-Sahara Africa","1",1803923
"55","GMB","Low Income Developing Countries","Sub-Sahara Africa","1",1199498
"56","GEO","Emerging Market Economies","Caucasus and Central Asia","1",1827898
"57","DEU","Advanced Economies","Advanced Economies","1",18187323
"58","GHA","Low Income Developing Countries","Sub-Sahara Africa","1",12056723
"59","GRC","Advanced Economies","Advanced Economies","1",5589793
"60","GRD","Emerging Market Economies","Latin America and the Caribbean","1",32531
"61","GTM","Emerging Market Economies","Latin America and the Caribbean","1",3063142
"62","GIN","Low Income Developing Countries","Sub-Sahara Africa","1",3472750
"63","GUY","Emerging Market Economies","Latin America and the Caribbean","1",235434
"64","HTI","Low Income Developing Countries","Latin America and the Caribbean","1",4312172
"65","HND","Low Income Developing Countries","Latin America and the Caribbean","1",4157230
"66","HKG","Advanced Economies","Advanced Economies","1",1100391
"67","HUN","Emerging Market Economies","Emerging and Developing Europe","1",3899933
"68","ISL","Advanced Economies","Advanced Economies","1",270359
"69","IND","Emerging Market Economies","Emerging and Developing Asia","1",295949858
"70","IDN","Emerging Market Economies","Emerging and Developing Asia","1",58847708
"71","IRN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",23872849
"72","IRQ","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",13540495
"73","IRL","Advanced Economies","Advanced Economies","1",1900576
"74","ISR","Advanced Economies","Advanced Economies","1",1448695
"75","ITA","Advanced Economies","Advanced Economies","1",15143868
"76","JAM","Emerging Market Economies","Latin America and the Caribbean","1",647081
"77","JPN","Advanced Economies","Advanced Economies","1",48220422
"78","JOR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2686757
"79","KAZ","Emerging Market Economies","Caucasus and Central Asia","1",9060938
"80","KEN","Low Income Developing Countries","Sub-Sahara Africa","1",7399561
"81","KOR","Advanced Economies","Advanced Economies","1",8704883
"82","KWT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",660539
"83","KGZ","Low Income Developing Countries","Caucasus and Central Asia","1",2100972
"84","LAO","Low Income Developing Countries","Emerging and Developing Asia","1",1598788
"85","LVA","Advanced Economies","Advanced Economies","1",1310210
"86","LBN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",3475434
"87","LSO","Low Income Developing Countries","Sub-Sahara Africa","1",279175
"88","LBR","Low Income Developing Countries","Sub-Sahara Africa","1",1729405
"89","LBY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2259132
"90","LTU","Advanced Economies","Advanced Economies","1",1185875
"91","LUX","Advanced Economies","Advanced Economies","1",351102
"92","MDG","Low Income Developing Countries","Sub-Sahara Africa","1",7318883
"93","MWI","Low Income Developing Countries","Sub-Sahara Africa","1",3063833
"94","MYS","Emerging Market Economies","Emerging and Developing Asia","1",13423124
"95","MLI","Low Income Developing Countries","Sub-Sahara Africa","1",7621397
"96","MLT","Advanced Economies","Advanced Economies","1",75884
"97","MUS","Emerging Market Economies","Sub-Sahara Africa","1",473335
"98","MEX","Emerging Market Economies","Latin America and the Caribbean","1",66286226
"99","MDA","Low Income Developing Countries","Emerging and Developing Europe","1",979975
"100","MNG","Emerging Market Economies","Emerging and Developing Asia","1",2374455
"101","MNE","Emerging Market Economies","Emerging and Developing Europe","1",33282
"102","MAR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",6938387
"103","MOZ","Low Income Developing Countries","Sub-Sahara Africa","1",7926455
"104","MMR","Low Income Developing Countries","Emerging and Developing Asia","1",10881383
"105","NAM","Emerging Market Economies","Sub-Sahara Africa","1",524500
"106","NPL","Low Income Developing Countries","Emerging and Developing Asia","1",15079581
"107","NLD","Advanced Economies","Advanced Economies","1",5506822
"108","NZL","Advanced Economies","Advanced Economies","1",2154125
"109","NIC","Low Income Developing Countries","Latin America and the Caribbean","1",1644844
"110","NER","Low Income Developing Countries","Sub-Sahara Africa","1",3502868
"111","NGA","Low Income Developing Countries","Sub-Sahara Africa","1",35003533
"112","NOR","Advanced Economies","Advanced Economies","1",2590686
"113","OMN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",1016836
"114","PAK","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",50841164
"115","PAN","Emerging Market Economies","Latin America and the Caribbean","1",2407736
"116","PNG","Low Income Developing Countries","Emerging and Developing Asia","1",1271258
"117","PRY","Emerging Market Economies","Latin America and the Caribbean","1",3452697
"118","PER","Emerging Market Economies","Latin America and the Caribbean","1",19143013
"119","PHL","Emerging Market Economies","Emerging and Developing Asia","1",39159602
"120","POL","Emerging Market Economies","Emerging and Developing Europe","1",10067201
"121","PRT","Advanced Economies","Advanced Economies","1",4586925
"122","PRI","Advanced Economies","Advanced Economies","1",1080606
"123","QAT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",3031343
"124","ROU","Emerging Market Economies","Emerging and Developing Europe","1",24642325
"125","RUS","Emerging Market Economies","Emerging and Developing Europe","1",43949353
"126","RWA","Low Income Developing Countries","Sub-Sahara Africa","1",1681525
"127","WSM","Emerging Market Economies","Emerging and Developing Asia","1",66172
"128","SMR","Advanced Economies","Advanced Economies","1",11899
"129","SAU","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",11111577
"130","SEN","Low Income Developing Countries","Sub-Sahara Africa","1",4443048
"131","SRB","Emerging Market Economies","Emerging and Developing Europe","1",2429958
"132","SYC","Emerging Market Economies","Sub-Sahara Africa","1",11980
"133","SLE","Low Income Developing Countries","Sub-Sahara Africa","1",1404292
"134","SGP","Advanced Economies","Advanced Economies","1",1066216
"135","SVK","Advanced Economies","Advanced Economies","1",578290
"136","SVN","Advanced Economies","Advanced Economies","1",794565
"137","SLB","Low Income Developing Countries","Emerging and Developing Asia","1",103673
"138","SOM","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",3792583
"139","ZAF","Emerging Market Economies","Sub-Sahara Africa","1",23613886
"140","SSD","Low Income Developing Countries","Sub-Sahara Africa","1",4740530
"141","ESP","Advanced Economies","Advanced Economies","1",18807537
"142","LKA","Emerging Market Economies","Emerging and Developing Asia","1",5239195
"143","SDN","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",7744791
"144","SUR","Emerging Market Economies","Latin America and the Caribbean","1",138935
"145","SWE","Advanced Economies","Advanced Economies","1",3529149
"146","CHE","Advanced Economies","Advanced Economies","1",2647353
"147","SYR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",8615985
"148","TWN","Advanced Economies","Advanced Economies","1",3384007
"149","TJK","Low Income Developing Countries","Caucasus and Central Asia","1",2286628
"150","TZA","Low Income Developing Countries","Sub-Sahara Africa","1",12016261
"151","THA","Emerging Market Economies","Emerging and Developing Asia","1",26325003
"152","TLS","Low Income Developing Countries","Emerging and Developing Asia","1",536045
"153","TGO","Low Income Developing Countries","Sub-Sahara Africa","1",2709043
"154","TON","Emerging Market Economies","Emerging and Developing Asia","1",74923
"155","TTO","Emerging Market Economies","Latin America and the Caribbean","1",80142
"156","TUN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",1681801
"157","TUR","Emerging Market Economies","Emerging and Developing Europe","1",42593681
"158","TKM","Emerging Market Economies","Caucasus and Central Asia","1",1152790
"159","UGA","Low Income Developing Countries","Sub-Sahara Africa","1",5945016
"160","UKR","Emerging Market Economies","Emerging and Developing Europe","1",15240178
"161","ARE","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",117354
"162","GBR","Advanced Economies","Advanced Economies","1",13164302
"163","USA","Advanced Economies","Advanced Economies","1",197220867
"164","URY","Emerging Market Economies","Latin America and the Caribbean","1",2477500
"165","UZB","Low Income Developing Countries","Caucasus and Central Asia","1",6078843
"166","VUT","Emerging Market Economies","Emerging and Developing Asia","1",96691
"167","VEN","Emerging Market Economies","Latin America and the Caribbean","1",9963112
"168","VNM","Low Income Developing Countries","Emerging and Developing Asia","1",24260853
"169","ZMB","Low Income Developing Countries","Sub-Sahara Africa","1",4561851
"170","ZWE","Low Income Developing Countries","Sub-Sahara Africa","1",4137390
"171","AFG","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",2665061
"172","ALB","Emerging Market Economies","Emerging and Developing Europe","2",359589
"173","DZA","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",5644390
"174","AGO","Emerging Market Economies","Sub-Sahara Africa","2",3496433
"175","ARG","Emerging Market Economies","Latin America and the Caribbean","2",6563459
"176","ARM","Emerging Market Economies","Caucasus and Central Asia","2",303801
"177","AUS","Advanced Economies","Advanced Economies","2",6753033
"178","AUT","Advanced Economies","Advanced Economies","2",928249
"179","AZE","Emerging Market Economies","Caucasus and Central Asia","2",1082087
"180","BHR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"181","BGD","Low Income Developing Countries","Emerging and Developing Asia","2",26658099
"182","BRB","Emerging Market Economies","Latin America and the Caribbean","2",51535
"183","BLR","Emerging Market Economies","Emerging and Developing Europe","2",1298640
"184","BEL","Advanced Economies","Advanced Economies","2",1579585
"185","BLZ","Emerging Market Economies","Latin America and the Caribbean","2",0
"186","BEN","Low Income Developing Countries","Sub-Sahara Africa","2",1320379
"187","BTN","Low Income Developing Countries","Emerging and Developing Asia","2",102254
"188","BOL","Emerging Market Economies","Latin America and the Caribbean","2",846383
"189","BIH","Emerging Market Economies","Emerging and Developing Europe","2",471153
"190","BWA","Emerging Market Economies","Sub-Sahara Africa","2",381412
"191","BRA","Emerging Market Economies","Latin America and the Caribbean","2",28130188
"192","BRN","Emerging Market Economies","Emerging and Developing Asia","2",92435
"193","BGR","Emerging Market Economies","Emerging and Developing Europe","2",860760
"194","BFA","Low Income Developing Countries","Sub-Sahara Africa","2",1463769
"195","BDI","Low Income Developing Countries","Sub-Sahara Africa","2",1983476
"196","CPV","Emerging Market Economies","Sub-Sahara Africa","2",61119
"197","KHM","Low Income Developing Countries","Emerging and Developing Asia","2",3816765
"198","CMR","Low Income Developing Countries","Sub-Sahara Africa","2",3440230
"199","CAN","Advanced Economies","Advanced Economies","2",2885372
"200","TCD","Low Income Developing Countries","Sub-Sahara Africa","2",1683305
"201","CHL","Emerging Market Economies","Latin America and the Caribbean","2",1473201
"202","CHN","Emerging Market Economies","Emerging and Developing Asia","2",203316304
"203","COL","Emerging Market Economies","Latin America and the Caribbean","2",5977664
"204","COD","Low Income Developing Countries","Sub-Sahara Africa","2",10280901
"205","COG","Low Income Developing Countries","Sub-Sahara Africa","2",378919
"206","CRI","Emerging Market Economies","Latin America and the Caribbean","2",662080
"207","CIV","Low Income Developing Countries","Sub-Sahara Africa","2",3455766
"208","HRV","Emerging Market Economies","Emerging and Developing Europe","2",499927
"209","CYP","Advanced Economies","Advanced Economies","2",0
"210","CZE","Advanced Economies","Advanced Economies","2",619241
"211","DNK","Advanced Economies","Advanced Economies","2",678715
"212","DJI","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",136118
"213","DMA","Emerging Market Economies","Latin America and the Caribbean","2",1282
"214","DOM","Emerging Market Economies","Latin America and the Caribbean","2",1431560
"215","ECU","Emerging Market Economies","Latin America and the Caribbean","2",2774132
"216","EGY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",14287589
"217","SLV","Emerging Market Economies","Latin America and the Caribbean","2",935874
"218","EST","Advanced Economies","Advanced Economies","2",319990
"219","SWZ","Emerging Market Economies","Sub-Sahara Africa","2",112241
"220","ETH","Low Income Developing Countries","Sub-Sahara Africa","2",14420100
"221","FJI","Emerging Market Economies","Emerging and Developing Asia","2",41243
"222","FIN","Advanced Economies","Advanced Economies","2",578188
"223","FRA","Advanced Economies","Advanced Economies","2",10510117
"224","GAB","Emerging Market Economies","Sub-Sahara Africa","2",411494
"225","GMB","Low Income Developing Countries","Sub-Sahara Africa","2",400150
"226","GEO","Emerging Market Economies","Caucasus and Central Asia","2",405582
"227","DEU","Advanced Economies","Advanced Economies","2",5950413
"228","GHA","Low Income Developing Countries","Sub-Sahara Africa","2",3473733
"229","GRC","Advanced Economies","Advanced Economies","2",188870
"230","GRD","Emerging Market Economies","Latin America and the Caribbean","2",13254
"231","GTM","Emerging Market Economies","Latin America and the Caribbean","2",1888537
"232","GIN","Low Income Developing Countries","Sub-Sahara Africa","2",673352
"233","GUY","Emerging Market Economies","Latin America and the Caribbean","2",101571
"234","HTI","Low Income Developing Countries","Latin America and the Caribbean","2",2109019
"235","HND","Low Income Developing Countries","Latin America and the Caribbean","2",867207
"236","HKG","Advanced Economies","Advanced Economies","2",820622
"237","HUN","Emerging Market Economies","Emerging and Developing Europe","2",1007225
"238","ISL","Advanced Economies","Advanced Economies","2",14210
"239","IND","Emerging Market Economies","Emerging and Developing Asia","2",208982631
"240","IDN","Emerging Market Economies","Emerging and Developing Asia","2",52470064
"241","IRN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",14891883
"242","IRQ","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",8789177
"243","IRL","Advanced Economies","Advanced Economies","2",430826
"244","ISR","Advanced Economies","Advanced Economies","2",1200958
"245","ITA","Advanced Economies","Advanced Economies","2",9961675
"246","JAM","Emerging Market Economies","Latin America and the Caribbean","2",541268
"247","JPN","Advanced Economies","Advanced Economies","2",24613287
"248","JOR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1557821
"249","KAZ","Emerging Market Economies","Caucasus and Central Asia","2",3754501
"250","KEN","Low Income Developing Countries","Sub-Sahara Africa","2",5272307
"251","KOR","Advanced Economies","Advanced Economies","2",9875319
"252","KWT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"253","KGZ","Low Income Developing Countries","Caucasus and Central Asia","2",716258
"254","LAO","Low Income Developing Countries","Emerging and Developing Asia","2",1016041
"255","LVA","Advanced Economies","Advanced Economies","2",205505
"256","LBN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",2196608
"257","LSO","Low Income Developing Countries","Sub-Sahara Africa","2",451695
"258","LBR","Low Income Developing Countries","Sub-Sahara Africa","2",716722
"259","LBY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1583475
"260","LTU","Advanced Economies","Advanced Economies","2",413026
"261","LUX","Advanced Economies","Advanced Economies","2",44873
"262","MDG","Low Income Developing Countries","Sub-Sahara Africa","2",3236407
"263","MWI","Low Income Developing Countries","Sub-Sahara Africa","2",1873210
"264","MYS","Emerging Market Economies","Emerging and Developing Asia","2",5807545
"265","MLI","Low Income Developing Countries","Sub-Sahara Africa","2",2630212
"266","MLT","Advanced Economies","Advanced Economies","2",60687
"267","MUS","Emerging Market Economies","Sub-Sahara Africa","2",145994
"268","MEX","Emerging Market Economies","Latin America and the Caribbean","2",18653074
"269","MDA","Low Income Developing Countries","Emerging and Developing Europe","2",634258
"270","MNG","Emerging Market Economies","Emerging and Developing Asia","2",163257
"271","MNE","Emerging Market Economies","Emerging and Developing Europe","2",232664
"272","MAR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",4773288
"273","MOZ","Low Income Developing Countries","Sub-Sahara Africa","2",4908990
"274","MMR","Low Income Developing Countries","Emerging and Developing Asia","2",5657694
"275","NAM","Emerging Market Economies","Sub-Sahara Africa","2",350261
"276","NPL","Low Income Developing Countries","Emerging and Developing Asia","2",4809998
"277","NLD","Advanced Economies","Advanced Economies","2",2544695
"278","NZL","Advanced Economies","Advanced Economies","2",662064
"279","NIC","Low Income Developing Countries","Latin America and the Caribbean","2",807832
"280","NER","Low Income Developing Countries","Sub-Sahara Africa","2",2827173
"281","NGA","Low Income Developing Countries","Sub-Sahara Africa","2",24208138
"282","NOR","Advanced Economies","Advanced Economies","2",754953
"283","OMN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",547159
"284","PAK","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",42512844
"285","PAN","Emerging Market Economies","Latin America and the Caribbean","2",434930
"286","PNG","Low Income Developing Countries","Emerging and Developing Asia","2",1249152
"287","PRY","Emerging Market Economies","Latin America and the Caribbean","2",786643
"288","PER","Emerging Market Economies","Latin America and the Caribbean","2",3733444
"289","PHL","Emerging Market Economies","Emerging and Developing Asia","2",13959430
"290","POL","Emerging Market Economies","Emerging and Developing Europe","2",3697788
"291","PRT","Advanced Economies","Advanced Economies","2",1905177
"292","PRI","Advanced Economies","Advanced Economies","2",453308
"293","QAT","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",213058
"294","ROU","Emerging Market Economies","Emerging and Developing Europe","2",1854213
"295","RUS","Emerging Market Economies","Emerging and Developing Europe","2",28483619
"296","RWA","Low Income Developing Countries","Sub-Sahara Africa","2",1381840
"297","WSM","Emerging Market Economies","Emerging and Developing Asia","2",33755
"298","SMR","Advanced Economies","Advanced Economies","2",7208
"299","SAU","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",495947
"300","SEN","Low Income Developing Countries","Sub-Sahara Africa","2",2857732
"301","SRB","Emerging Market Economies","Emerging and Developing Europe","2",1213306
"302","SYC","Emerging Market Economies","Sub-Sahara Africa","2",5488
"303","SLE","Low Income Developing Countries","Sub-Sahara Africa","2",733526
"304","SGP","Advanced Economies","Advanced Economies","2",0
"305","SVK","Advanced Economies","Advanced Economies","2",845827
"306","SVN","Advanced Economies","Advanced Economies","2",255582
"307","SLB","Low Income Developing Countries","Emerging and Developing Asia","2",80178
"308","SOM","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",1406361
"309","ZAF","Emerging Market Economies","Sub-Sahara Africa","2",4082431
"310","SSD","Low Income Developing Countries","Sub-Sahara Africa","2",3262461
"311","ESP","Advanced Economies","Advanced Economies","2",7867898
"312","LKA","Emerging Market Economies","Emerging and Developing Asia","2",2790252
"313","SDN","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",4348196
"314","SUR","Emerging Market Economies","Latin America and the Caribbean","2",124200
"315","SWE","Advanced Economies","Advanced Economies","2",1819323
"316","CHE","Advanced Economies","Advanced Economies","2",1467631
"317","SYR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",2276414
"318","TWN","Advanced Economies","Advanced Economies","2",3180401
"319","TJK","Low Income Developing Countries","Caucasus and Central Asia","2",1604054
"320","TZA","Low Income Developing Countries","Sub-Sahara Africa","2",5660088
"321","THA","Emerging Market Economies","Emerging and Developing Asia","2",9523969
"322","TLS","Low Income Developing Countries","Emerging and Developing Asia","2",201048
"323","TGO","Low Income Developing Countries","Sub-Sahara Africa","2",1023607
"324","TON","Emerging Market Economies","Emerging and Developing Asia","2",0
"325","TTO","Emerging Market Economies","Latin America and the Caribbean","2",25416
"326","TUN","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",1834211
"327","TUR","Emerging Market Economies","Emerging and Developing Europe","2",14316896
"328","TKM","Emerging Market Economies","Caucasus and Central Asia","2",0
"329","UGA","Low Income Developing Countries","Sub-Sahara Africa","2",5061723
"330","UKR","Emerging Market Economies","Emerging and Developing Europe","2",5638855
"331","ARE","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",875947
"332","GBR","Advanced Economies","Advanced Economies","2",7618145
"333","USA","Advanced Economies","Advanced Economies","2",59925378
"334","URY","Emerging Market Economies","Latin America and the Caribbean","2",487774
"335","UZB","Low Income Developing Countries","Caucasus and Central Asia","2",4419688
"336","VUT","Emerging Market Economies","Emerging and Developing Asia","2",31793
"337","VEN","Emerging Market Economies","Latin America and the Caribbean","2",6641376
"338","VNM","Low Income Developing Countries","Emerging and Developing Asia","2",12068615
"339","ZMB","Low Income Developing Countries","Sub-Sahara Africa","2",3426599
"340","ZWE","Low Income Developing Countries","Sub-Sahara Africa","2",1587498
"341","AFG","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",2915517
"342","ALB","Emerging Market Economies","Emerging and Developing Europe","3",120974
"343","DZA","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4180520
"344","AGO","Emerging Market Economies","Sub-Sahara Africa","3",2735637
"345","ARG","Emerging Market Economies","Latin America and the Caribbean","3",3593590
"346","ARM","Emerging Market Economies","Caucasus and Central Asia","3",259765
"347","AUS","Advanced Economies","Advanced Economies","3",5162098
"348","AUT","Advanced Economies","Advanced Economies","3",729246
"349","AZE","Emerging Market Economies","Caucasus and Central Asia","3",1186514
"350","BHR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",311962
"351","BGD","Low Income Developing Countries","Emerging and Developing Asia","3",21248529
"352","BRB","Emerging Market Economies","Latin America and the Caribbean","3",27121
"353","BLR","Emerging Market Economies","Emerging and Developing Europe","3",617936
"354","BEL","Advanced Economies","Advanced Economies","3",1168656
"355","BLZ","Emerging Market Economies","Latin America and the Caribbean","3",52926
"356","BEN","Low Income Developing Countries","Sub-Sahara Africa","3",933318
"357","BTN","Low Income Developing Countries","Emerging and Developing Asia","3",106184
"358","BOL","Emerging Market Economies","Latin America and the Caribbean","3",842794
"359","BIH","Emerging Market Economies","Emerging and Developing Europe","3",475781
"360","BWA","Emerging Market Economies","Sub-Sahara Africa","3",394651
"361","BRA","Emerging Market Economies","Latin America and the Caribbean","3",15783448
"362","BRN","Emerging Market Economies","Emerging and Developing Asia","3",69406
"363","BGR","Emerging Market Economies","Emerging and Developing Europe","3",677118
"364","BFA","Low Income Developing Countries","Sub-Sahara Africa","3",2446414
"365","BDI","Low Income Developing Countries","Sub-Sahara Africa","3",1107856
"366","CPV","Emerging Market Economies","Sub-Sahara Africa","3",118477
"367","KHM","Low Income Developing Countries","Emerging and Developing Asia","3",1722529
"368","CMR","Low Income Developing Countries","Sub-Sahara Africa","3",2805131
"369","CAN","Advanced Economies","Advanced Economies","3",2444346
"370","TCD","Low Income Developing Countries","Sub-Sahara Africa","3",2010848
"371","CHL","Emerging Market Economies","Latin America and the Caribbean","3",2294881
"372","CHN","Emerging Market Economies","Emerging and Developing Asia","3",186888080
"373","COL","Emerging Market Economies","Latin America and the Caribbean","3",4498631
"374","COD","Low Income Developing Countries","Sub-Sahara Africa","3",3411547
"375","COG","Low Income Developing Countries","Sub-Sahara Africa","3",1052750
"376","CRI","Emerging Market Economies","Latin America and the Caribbean","3",817922
"377","CIV","Low Income Developing Countries","Sub-Sahara Africa","3",3498665
"378","HRV","Emerging Market Economies","Emerging and Developing Europe","3",310417
"379","CYP","Advanced Economies","Advanced Economies","3",271283
"380","CZE","Advanced Economies","Advanced Economies","3",1837075
"381","DNK","Advanced Economies","Advanced Economies","3",621490
"382","DJI","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",58322
"383","DMA","Emerging Market Economies","Latin America and the Caribbean","3",10841
"384","DOM","Emerging Market Economies","Latin America and the Caribbean","3",1382244
"385","ECU","Emerging Market Economies","Latin America and the Caribbean","3",1104355
"386","EGY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",10043617
"387","SLV","Emerging Market Economies","Latin America and the Caribbean","3",1067458
"388","EST","Advanced Economies","Advanced Economies","3",92789
"389","SWZ","Emerging Market Economies","Sub-Sahara Africa","3",139798
"390","ETH","Low Income Developing Countries","Sub-Sahara Africa","3",20356940
"391","FJI","Emerging Market Economies","Emerging and Developing Asia","3",77192
"392","FIN","Advanced Economies","Advanced Economies","3",711693
"393","FRA","Advanced Economies","Advanced Economies","3",10611255
"394","GAB","Emerging Market Economies","Sub-Sahara Africa","3",162446
"395","GMB","Low Income Developing Countries","Sub-Sahara Africa","3",120696
"396","GEO","Emerging Market Economies","Caucasus and Central Asia","3",323092
"397","DEU","Advanced Economies","Advanced Economies","3",10177279
"398","GHA","Low Income Developing Countries","Sub-Sahara Africa","3",2339165
"399","GRC","Advanced Economies","Advanced Economies","3",623264
