"","income_group","region","decile","value"
"146","Advanced Economies","Advanced Economies","1",0.001709
"147","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.005116
"148","Advanced Economies","Advanced Economies","1",0.000473
"149","Low Income Developing Countries","Caucasus and Central Asia","1",0.002743
"150","Low Income Developing Countries","Sub-Sahara Africa","1",0.005208
"151","Emerging Market Economies","Emerging and Developing Asia","1",0.011829
"152","Low Income Developing Countries","Emerging and Developing Asia","1",0.000905
"153","Low Income Developing Countries","Sub-Sahara Africa","1",0.000994
"154","Emerging Market Economies","Emerging and Developing Asia","1",0.000276
"155","Emerging Market Economies","Latin America and the Caribbean","1",3.4e-05
"156","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.000237
"157","Emerging Market Economies","Emerging and Developing Europe","1",0.032953
"158","Emerging Market Economies","Caucasus and Central Asia","1",0.000126
"159","Low Income Developing Countries","Sub-Sahara Africa","1",0.002745
"160","Emerging Market Economies","Emerging and Developing Europe","1",0.005328
"161","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2.8e-05
"162","Advanced Economies","Advanced Economies","1",0.002315
"163","Advanced Economies","Advanced Economies","1",0.445656
"164","Emerging Market Economies","Latin America and the Caribbean","1",0.006608
"165","Low Income Developing Countries","Caucasus and Central Asia","1",0.004723
"166","Emerging Market Economies","Emerging and Developing Asia","1",0.000263
"167","Emerging Market Economies","Latin America and the Caribbean","1",0.005201
"168","Low Income Developing Countries","Emerging and Developing Asia","1",0.004091
"169","Low Income Developing Countries","Sub-Sahara Africa","1",0.008806
"170","Low Income Developing Countries","Sub-Sahara Africa","1",0.01433
"171","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",0.013967
"172","Emerging Market Economies","Emerging and Developing Europe","2",0.002553
"173","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.011864
"174","Emerging Market Economies","Sub-Sahara Africa","2",0.056382
"175","Emerging Market Economies","Latin America and the Caribbean","2",0.089603
"176","Emerging Market Economies","Caucasus and Central Asia","2",0.001303
"177","Advanced Economies","Advanced Economies","2",0.010666
"178","Advanced Economies","Advanced Economies","2",0.004298
"179","Emerging Market Economies","Caucasus and Central Asia","2",0.004582
"180","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"181","Low Income Developing Countries","Emerging and Developing Asia","2",0.008939
"182","Emerging Market Economies","Latin America and the Caribbean","2",6e-05
"183","Emerging Market Economies","Emerging and Developing Europe","2",0.024034
"184","Advanced Economies","Advanced Economies","2",0.002398
"185","Emerging Market Economies","Latin America and the Caribbean","2",0
"186","Low Income Developing Countries","Sub-Sahara Africa","2",0.001578
"187","Low Income Developing Countries","Emerging and Developing Asia","2",0.001151
"188","Emerging Market Economies","Latin America and the Caribbean","2",0.017394
"189","Emerging Market Economies","Emerging and Developing Europe","2",0.002994
"190","Emerging Market Economies","Sub-Sahara Africa","2",0.002023
"191","Emerging Market Economies","Latin America and the Caribbean","2",0.225922
"192","Emerging Market Economies","Emerging and Developing Asia","2",0.000156
"193","Emerging Market Economies","Emerging and Developing Europe","2",0.011301
"194","Low Income Developing Countries","Sub-Sahara Africa","2",0.013183
"195","Low Income Developing Countries","Sub-Sahara Africa","2",0.00202
"196","Emerging Market Economies","Sub-Sahara Africa","2",0.000167
"197","Low Income Developing Countries","Emerging and Developing Asia","2",0.009828
"198","Low Income Developing Countries","Sub-Sahara Africa","2",0.013636
"199","Advanced Economies","Advanced Economies","2",0.013235
"200","Low Income Developing Countries","Sub-Sahara Africa","2",0.019343
"201","Emerging Market Economies","Latin America and the Caribbean","2",0.015361
"202","Emerging Market Economies","Emerging and Developing Asia","2",0.260047
"203","Emerging Market Economies","Latin America and the Caribbean","2",0.030252
"204","Low Income Developing Countries","Sub-Sahara Africa","2",0.014482
"205","Low Income Developing Countries","Sub-Sahara Africa","2",0.016701
"206","Emerging Market Economies","Latin America and the Caribbean","2",0.000362
"207","Low Income Developing Countries","Sub-Sahara Africa","2",0.026702
"208","Emerging Market Economies","Emerging and Developing Europe","2",0.003736
"209","Advanced Economies","Advanced Economies","2",0
"210","Advanced Economies","Advanced Economies","2",0.000262
"211","Advanced Economies","Advanced Economies","2",0.000835
"212","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",0.002099
"213","Emerging Market Economies","Latin America and the Caribbean","2",8e-06
"214","Emerging Market Economies","Latin America and the Caribbean","2",0.00305
"215","Emerging Market Economies","Latin America and the Caribbean","2",0.016625
"216","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.000879
"217","Emerging Market Economies","Latin America and the Caribbean","2",0.001423
"218","Advanced Economies","Advanced Economies","2",0.002327
"219","Emerging Market Economies","Sub-Sahara Africa","2",0.000757
"220","Low Income Developing Countries","Sub-Sahara Africa","2",0.057941
"221","Emerging Market Economies","Emerging and Developing Asia","2",0.000953
"222","Advanced Economies","Advanced Economies","2",0.01317
"223","Advanced Economies","Advanced Economies","2",0.045535
"224","Emerging Market Economies","Sub-Sahara Africa","2",0.022998
"225","Low Income Developing Countries","Sub-Sahara Africa","2",0.001487
"226","Emerging Market Economies","Caucasus and Central Asia","2",0.00426
"227","Advanced Economies","Advanced Economies","2",0.005374
"228","Low Income Developing Countries","Sub-Sahara Africa","2",0.009232
"229","Advanced Economies","Advanced Economies","2",0.002284
"230","Emerging Market Economies","Latin America and the Caribbean","2",4e-05
"231","Emerging Market Economies","Latin America and the Caribbean","2",0.00176
"232","Low Income Developing Countries","Sub-Sahara Africa","2",0.010309
"233","Emerging Market Economies","Latin America and the Caribbean","2",0.000233
"234","Low Income Developing Countries","Latin America and the Caribbean","2",0.003042
"235","Low Income Developing Countries","Latin America and the Caribbean","2",0.005848
"236","Advanced Economies","Advanced Economies","2",2e-05
"237","Emerging Market Economies","Emerging and Developing Europe","2",0.007086
"238","Advanced Economies","Advanced Economies","2",0.001244
"239","Emerging Market Economies","Emerging and Developing Asia","2",0.185535
"240","Emerging Market Economies","Emerging and Developing Asia","2",0.035573
"241","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.086806
"242","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.02098
"243","Advanced Economies","Advanced Economies","2",0.00411
"244","Advanced Economies","Advanced Economies","2",0.000584
"245","Advanced Economies","Advanced Economies","2",0.027314
"246","Emerging Market Economies","Latin America and the Caribbean","2",0.001186
"247","Advanced Economies","Advanced Economies","2",0.015452
"248","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.001232
"249","Emerging Market Economies","Caucasus and Central Asia","2",0.139995
"250","Low Income Developing Countries","Sub-Sahara Africa","2",0.005034
"251","Advanced Economies","Advanced Economies","2",0.001018
"252","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0
"253","Low Income Developing Countries","Caucasus and Central Asia","2",0.009148
"254","Low Income Developing Countries","Emerging and Developing Asia","2",0.010953
"255","Advanced Economies","Advanced Economies","2",0.005593
"256","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.000798
"257","Low Income Developing Countries","Sub-Sahara Africa","2",0.003768
"258","Low Income Developing Countries","Sub-Sahara Africa","2",0.008777
"259","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.023554
"260","Advanced Economies","Advanced Economies","2",0.0073
"261","Advanced Economies","Advanced Economies","2",0.000186
"262","Low Income Developing Countries","Sub-Sahara Africa","2",0.037213
"263","Low Income Developing Countries","Sub-Sahara Africa","2",0.003726
"264","Emerging Market Economies","Emerging and Developing Asia","2",0.010016
"265","Low Income Developing Countries","Sub-Sahara Africa","2",0.038078
"266","Advanced Economies","Advanced Economies","2",1.6e-05
"267","Emerging Market Economies","Sub-Sahara Africa","2",0.000183
"268","Emerging Market Economies","Latin America and the Caribbean","2",0.054895
"269","Low Income Developing Countries","Emerging and Developing Europe","2",0.005315
"270","Emerging Market Economies","Emerging and Developing Asia","2",0.08861
"271","Emerging Market Economies","Emerging and Developing Europe","2",0.001669
"272","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.007016
"273","Low Income Developing Countries","Sub-Sahara Africa","2",0.051671
"274","Low Income Developing Countries","Emerging and Developing Asia","2",0.033094
"275","Emerging Market Economies","Sub-Sahara Africa","2",0.002497
"276","Low Income Developing Countries","Emerging and Developing Asia","2",0.008405
"277","Advanced Economies","Advanced Economies","2",0.001731
"278","Advanced Economies","Advanced Economies","2",0.005433
"279","Low Income Developing Countries","Latin America and the Caribbean","2",0.003376
"280","Low Income Developing Countries","Sub-Sahara Africa","2",0.01534
"281","Low Income Developing Countries","Sub-Sahara Africa","2",0.016018
"282","Advanced Economies","Advanced Economies","2",0.013473
"283","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.00399
"284","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.040173
"285","Emerging Market Economies","Latin America and the Caribbean","2",0.004688
"286","Low Income Developing Countries","Emerging and Developing Asia","2",0.008753
"287","Emerging Market Economies","Latin America and the Caribbean","2",0.005804
"288","Emerging Market Economies","Latin America and the Caribbean","2",0.062244
"289","Emerging Market Economies","Emerging and Developing Asia","2",0.016425
"290","Emerging Market Economies","Emerging and Developing Europe","2",0.007424
"291","Advanced Economies","Advanced Economies","2",0.004926
"292","Advanced Economies","Advanced Economies","2",0.000635
"293","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.000306
"294","Emerging Market Economies","Emerging and Developing Europe","2",0.015951
"295","Emerging Market Economies","Emerging and Developing Europe","2",0.16295
"296","Low Income Developing Countries","Sub-Sahara Africa","2",0.00147
"297","Emerging Market Economies","Emerging and Developing Asia","2",0.000182
"298","Advanced Economies","Advanced Economies","2",1e-05
"299","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.010316
"300","Low Income Developing Countries","Sub-Sahara Africa","2",0.006895
"301","Emerging Market Economies","Emerging and Developing Europe","2",0.007596
"302","Emerging Market Economies","Sub-Sahara Africa","2",3e-06
"303","Low Income Developing Countries","Sub-Sahara Africa","2",0.005582
"304","Advanced Economies","Advanced Economies","2",0
"305","Advanced Economies","Advanced Economies","2",0.004297
"306","Advanced Economies","Advanced Economies","2",0.001309
"307","Low Income Developing Countries","Emerging and Developing Asia","2",0.001056
"308","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",0.03686
"309","Emerging Market Economies","Sub-Sahara Africa","2",0.01762
"310","Low Income Developing Countries","Sub-Sahara Africa","2",0.05892
"311","Advanced Economies","Advanced Economies","2",0.031706
"312","Emerging Market Economies","Emerging and Developing Asia","2",0.002233
"313","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","2",0.028314
"314","Emerging Market Economies","Latin America and the Caribbean","2",0.000144
"315","Advanced Economies","Advanced Economies","2",0.016834
"316","Advanced Economies","Advanced Economies","2",0.002302
"317","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.004389
"318","Advanced Economies","Advanced Economies","2",0.00136
"319","Low Income Developing Countries","Caucasus and Central Asia","2",0.005557
"320","Low Income Developing Countries","Sub-Sahara Africa","2",0.019584
"321","Emerging Market Economies","Emerging and Developing Asia","2",0.027454
"322","Low Income Developing Countries","Emerging and Developing Asia","2",0.001394
"323","Low Income Developing Countries","Sub-Sahara Africa","2",0.003953
"324","Emerging Market Economies","Emerging and Developing Asia","2",0
"325","Emerging Market Economies","Latin America and the Caribbean","2",1.4e-05
"326","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.000721
"327","Emerging Market Economies","Emerging and Developing Europe","2",0.069564
"328","Emerging Market Economies","Caucasus and Central Asia","2",0
"329","Low Income Developing Countries","Sub-Sahara Africa","2",0.008534
"330","Emerging Market Economies","Emerging and Developing Europe","2",0.005497
"331","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","2",0.000319
"332","Advanced Economies","Advanced Economies","2",0.002632
"333","Advanced Economies","Advanced Economies","2",0.557607
"334","Emerging Market Economies","Latin America and the Caribbean","2",0.012895
"335","Low Income Developing Countries","Caucasus and Central Asia","2",0.006431
"336","Emerging Market Economies","Emerging and Developing Asia","2",0.00052
"337","Emerging Market Economies","Latin America and the Caribbean","2",0.01635
"338","Low Income Developing Countries","Emerging and Developing Asia","2",0.00878
"339","Low Income Developing Countries","Sub-Sahara Africa","2",0.040077
"340","Low Income Developing Countries","Sub-Sahara Africa","2",0.025152
"341","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",0.023962
"342","Emerging Market Economies","Emerging and Developing Europe","3",0.000949
"343","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.014558
"344","Emerging Market Economies","Sub-Sahara Africa","3",0.07318
"345","Emerging Market Economies","Latin America and the Caribbean","3",0.131147
"346","Emerging Market Economies","Caucasus and Central Asia","3",0.002224
"347","Advanced Economies","Advanced Economies","3",0.047004
"348","Advanced Economies","Advanced Economies","3",0.005371
"349","Emerging Market Economies","Caucasus and Central Asia","3",0.008113
"350","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",3.5e-05
"351","Low Income Developing Countries","Emerging and Developing Asia","3",0.01251
"352","Emerging Market Economies","Latin America and the Caribbean","3",3.3e-05
"353","Emerging Market Economies","Emerging and Developing Europe","3",0.020154
"354","Advanced Economies","Advanced Economies","3",0.002017
"355","Emerging Market Economies","Latin America and the Caribbean","3",0.001992
"356","Low Income Developing Countries","Sub-Sahara Africa","3",0.002001
"357","Low Income Developing Countries","Emerging and Developing Asia","3",0.001713
"358","Emerging Market Economies","Latin America and the Caribbean","3",0.034509
"359","Emerging Market Economies","Emerging and Developing Europe","3",0.00464
"360","Emerging Market Economies","Sub-Sahara Africa","3",0.010929
"361","Emerging Market Economies","Latin America and the Caribbean","3",0.277214
"362","Emerging Market Economies","Emerging and Developing Asia","3",0.000165
"363","Emerging Market Economies","Emerging and Developing Europe","3",0.013651
"364","Low Income Developing Countries","Sub-Sahara Africa","3",0.025099
"365","Low Income Developing Countries","Sub-Sahara Africa","3",0.001752
"366","Emerging Market Economies","Sub-Sahara Africa","3",0.000488
"367","Low Income Developing Countries","Emerging and Developing Asia","3",0.006928
"368","Low Income Developing Countries","Sub-Sahara Africa","3",0.015493
"369","Advanced Economies","Advanced Economies","3",0.030488
"370","Low Income Developing Countries","Sub-Sahara Africa","3",0.034981
"371","Emerging Market Economies","Latin America and the Caribbean","3",0.046764
"372","Emerging Market Economies","Emerging and Developing Asia","3",0.342635
"373","Emerging Market Economies","Latin America and the Caribbean","3",0.039049
"374","Low Income Developing Countries","Sub-Sahara Africa","3",0.009268
"375","Low Income Developing Countries","Sub-Sahara Africa","3",0.067757
"376","Emerging Market Economies","Latin America and the Caribbean","3",0.00127
"377","Low Income Developing Countries","Sub-Sahara Africa","3",0.034713
"378","Emerging Market Economies","Emerging and Developing Europe","3",0.003438
"379","Advanced Economies","Advanced Economies","3",0.001264
"380","Advanced Economies","Advanced Economies","3",0.003026
"381","Advanced Economies","Advanced Economies","3",0.001267
"382","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","3",0.00098
"383","Emerging Market Economies","Latin America and the Caribbean","3",6.8e-05
"384","Emerging Market Economies","Latin America and the Caribbean","3",0.004906
"385","Emerging Market Economies","Latin America and the Caribbean","3",0.00898
"386","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.002074
"387","Emerging Market Economies","Latin America and the Caribbean","3",0.002634
"388","Advanced Economies","Advanced Economies","3",0.002757
"389","Emerging Market Economies","Sub-Sahara Africa","3",0.00146
"390","Low Income Developing Countries","Sub-Sahara Africa","3",0.105661
"391","Emerging Market Economies","Emerging and Developing Asia","3",0.002596
"392","Advanced Economies","Advanced Economies","3",0.020938
"393","Advanced Economies","Advanced Economies","3",0.062477
"394","Emerging Market Economies","Sub-Sahara Africa","3",0.019036
"395","Low Income Developing Countries","Sub-Sahara Africa","3",0.000732
"396","Emerging Market Economies","Caucasus and Central Asia","3",0.005383
"397","Advanced Economies","Advanced Economies","3",0.01703
"398","Low Income Developing Countries","Sub-Sahara Africa","3",0.009425
"399","Advanced Economies","Advanced Economies","3",0.008336
"400","Emerging Market Economies","Latin America and the Caribbean","3",0
"401","Emerging Market Economies","Latin America and the Caribbean","3",0.003157
"402","Low Income Developing Countries","Sub-Sahara Africa","3",0.015763
"403","Emerging Market Economies","Latin America and the Caribbean","3",0.000349
"404","Low Income Developing Countries","Latin America and the Caribbean","3",0.0031
"405","Low Income Developing Countries","Latin America and the Caribbean","3",0.004951
"406","Advanced Economies","Advanced Economies","3",2.7e-05
"407","Emerging Market Economies","Emerging and Developing Europe","3",0.009247
"408","Advanced Economies","Advanced Economies","3",0.003858
"409","Emerging Market Economies","Emerging and Developing Asia","3",0.224088
"410","Emerging Market Economies","Emerging and Developing Asia","3",0.069257
"411","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.08424
"412","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.016595
"413","Advanced Economies","Advanced Economies","3",0.012682
"414","Advanced Economies","Advanced Economies","3",0
"415","Advanced Economies","Advanced Economies","3",0.03014
"416","Emerging Market Economies","Latin America and the Caribbean","3",0.000593
"417","Advanced Economies","Advanced Economies","3",0.019834
"418","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.001708
"419","Emerging Market Economies","Caucasus and Central Asia","3",0.150476
"420","Low Income Developing Countries","Sub-Sahara Africa","3",0.007822
"421","Advanced Economies","Advanced Economies","3",0.001921
"422","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",4.6e-05
"423","Low Income Developing Countries","Caucasus and Central Asia","3",0.007674
"424","Low Income Developing Countries","Emerging and Developing Asia","3",0.018558
"425","Advanced Economies","Advanced Economies","3",0.006305
"426","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.000717
"427","Low Income Developing Countries","Sub-Sahara Africa","3",0.002818
"428","Low Income Developing Countries","Sub-Sahara Africa","3",0.006416
"429","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","3",0.014872
"430","Advanced Economies","Advanced Economies","3",0.005739
"431","Advanced Economies","Advanced Economies","3",0.000128
